player,#,nation,pos,age,min,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,er,game_id,player_id
Reilyn Turner,66,us USA,FW,22-198,70,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,13e27d90,66Reilyn Turner13e27d90
Jessie Fleming,21,ca CAN,"CM,FW",27-053,20,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,13e27d90,21Jessie Fleming13e27d90
Deyna Castellanos,10,ve VEN,"LW,FW",26-015,87,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,13e27d90,10Deyna Castellanos13e27d90
Sophie Hirst,14,us USA,FW,25-067,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,13e27d90,14Sophie Hirst13e27d90
Marie-Yasmine Alidou,26,ca CAN,RW,30-005,70,3,1,0,2,1,3,3,100.0,0,0,0,0,1,4,2,0,13e27d90,26Marie-Yasmine Alidou13e27d90
Payton Linnehan,15,us USA,RW,24-039,20,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,13e27d90,15Payton Linnehan13e27d90
Hina Sugita,8,jp JPN,LM,28-092,90,5,4,3,2,0,1,4,25.0,3,1,0,1,3,8,3,0,13e27d90,8Hina Sugita13e27d90
Sam Coffey,17,us USA,"CM,RM",26-123,90,5,2,0,4,1,2,2,100.0,0,0,0,0,1,6,1,0,13e27d90,17Sam Coffey13e27d90
Olivia Moultrie,13,us USA,"RM,LW",19-228,89,4,4,1,3,0,1,1,100.0,0,4,0,4,0,4,2,0,13e27d90,13Olivia Moultrie13e27d90
Pietra Tordin,19,us USA,LW,21-034,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,13e27d90,19Pietra Tordin13e27d90
Reyna Reyes,2,mx MEX,LB,24-076,90,1,1,0,0,1,1,1,100.0,0,3,1,2,6,7,5,0,13e27d90,2Reyna Reyes13e27d90
Jayden Perry,24,us USA,CB,24-072,90,2,2,1,1,0,1,3,33.3,2,2,1,1,2,4,2,0,13e27d90,24Jayden Perry13e27d90
Samantha Hiatt,16,us USA,CB,27-117,90,1,1,1,0,0,0,0,,0,1,1,0,1,2,2,0,13e27d90,16Samantha Hiatt13e27d90
Isabella Obaze,5,dk DEN,RB,22-185,80,0,0,0,0,0,0,1,0.0,1,2,2,0,2,2,2,0,13e27d90,5Isabella Obaze13e27d90
Mallie McKenzie,29,us USA,RB,24-171,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13e27d90,29Mallie McKenzie13e27d90
Mackenzie Arnold,18,au AUS,GK,31-067,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13e27d90,18Mackenzie Arnold13e27d90
Barbra Banda,22,zm ZAM,FW,25-044,90,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,13e27d90,22Barbra Banda13e27d90
Marta,10,br BRA,FW,39-073,74,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,0,0,13e27d90,10Marta13e27d90
Prisca Chilufya,9,zm ZAM,FW,25-329,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13e27d90,9Prisca Chilufya13e27d90
Kerry Abello,25,us USA,"LM,LB",25-228,90,1,0,0,1,0,0,0,,0,1,0,1,0,1,1,0,13e27d90,25Kerry Abello13e27d90
Haley Hanson,2,us USA,CM,29-090,90,3,3,2,1,0,2,3,66.7,1,1,1,0,0,3,3,0,13e27d90,2Haley Hanson13e27d90
Ally Lemos,30,us USA,CM,21-060,67,4,2,1,3,0,2,2,100.0,0,0,0,0,0,4,0,0,13e27d90,30Ally Lemos13e27d90
Viviana Villacorta,14,us USA,CM,26-090,23,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0,13e27d90,14Viviana Villacorta13e27d90
Ally Watt,11,us USA,RM,28-052,82,5,5,2,2,1,4,6,66.7,2,2,0,2,1,6,0,0,13e27d90,11Ally Watt13e27d90
Grace Chanda,23,zm ZAM,RM,27-326,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13e27d90,23Grace Chanda13e27d90
Carson Pickett,19,us USA,LB,31-230,67,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,7,0,13e27d90,19Carson Pickett13e27d90
Angelina,15,br BRA,"LM,LB",25-097,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,13e27d90,15Angelina13e27d90
Zara Chavosi,34,ca CAN,CB,22-148,90,4,2,4,0,0,1,1,100.0,0,4,4,0,1,5,1,0,13e27d90,34Zara Chavosi13e27d90
Emily Sams,6,us USA,CB,25-306,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,2,0,13e27d90,6Emily Sams13e27d90
Oihane Hernández,21,es ESP,RB,24-364,67,1,1,0,1,0,0,0,,0,0,0,0,3,4,0,0,13e27d90,21Oihane Hernández13e27d90
Cori Dyke,12,us USA,RB,24-225,23,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,13e27d90,12Cori Dyke13e27d90
Anna Moorhouse,1,eng ENG,GK,30-034,50,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,13e27d90,1Anna Moorhouse13e27d90
McKinley Crone,40,,GK,,40,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13e27d90,40McKinley Crone13e27d90
