Player,Jersey_number,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Reilyn Turner,66,us†USA,FW,22-198,70,8,14,57.1,109,32,5,8,62.5,1,3,33.3,1,1,100,1,0.2,0,2,1,0,0,1,13e27d90,66Reilyn Turner13e27d90,Portland Thorns FC
Jessie Fleming,21,ca†CAN,CM FW,27-053,20,9,10,90,152,38,3,3,100,6,7,85.7,0,0,0,0,0,0,0,1,0,0,2,13e27d90,21Jessie Fleming13e27d90,Portland Thorns FC
Deyna Castellanos,10,ve†VEN,LW FW,26-015,87,12,19,63.2,206,118,5,6,83.3,6,9,66.7,1,4,25,0,0.3,0.1,1,2,1,0,2,13e27d90,10Deyna Castellanos13e27d90,Portland Thorns FC
Sophie Hirst,14,us†USA,FW,25-067,3,1,4,25,8,0,1,1,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13e27d90,14Sophie Hirst13e27d90,Portland Thorns FC
Marie-Yasmine Alidou,26,ca†CAN,RW,30-005,70,9,12,75,110,51,4,7,57.1,3,3,100,0,0,0,0,0,0,0,0,0,0,1,13e27d90,26Marie-Yasmine Alidou13e27d90,Portland Thorns FC
Payton Linnehan,15,us†USA,RW,24-039,20,11,15,73.3,173,62,7,7,100,3,6,50,1,1,100,0,0,0,0,0,1,0,3,13e27d90,15Payton Linnehan13e27d90,Portland Thorns FC
Olivia Moultrie,13,us†USA,AM LW,19-228,89,26,35,74.3,425,160,14,18,77.8,8,11,72.7,2,4,50,0,0.6,0.2,4,3,1,0,3,13e27d90,8Hina Sugita13e27d90,Portland Thorns FC
Pietra Tordin,19,us†USA,LW,21-034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13e27d90,17Sam Coffey13e27d90,Portland Thorns FC
Hina Sugita,8,jp†JPN,DM LM,28-092,90,36,44,81.8,467,192,20,23,87,13,15,86.7,0,2,0,0,0.2,0,3,2,1,1,3,13e27d90,13Olivia Moultrie13e27d90,Portland Thorns FC
Sam Coffey,17,us†USA,DM RM,26-123,90,28,34,82.4,529,284,12,14,85.7,13,14,92.9,3,4,75,0,0.1,0.1,3,4,2,0,6,13e27d90,19Pietra Tordin13e27d90,Portland Thorns FC
Reyna Reyes,2,mx†MEX,LB,24-076,90,32,38,84.2,413,205,26,27,96.3,4,6,66.7,2,4,50,0,0,0,0,5,0,0,3,13e27d90,2Reyna Reyes13e27d90,Portland Thorns FC
Jayden Perry,24,us†USA,CB,24-072,90,25,36,69.4,534,272,6,10,60,17,18,94.4,2,7,28.6,0,0,0,0,2,0,0,0,13e27d90,24Jayden Perry13e27d90,Portland Thorns FC
Samantha Hiatt,16,us†USA,CB,27-117,90,22,27,81.5,380,119,5,7,71.4,16,18,88.9,1,1,100,0,0,0,0,0,0,0,0,13e27d90,16Samantha Hiatt13e27d90,Portland Thorns FC
Isabella Obaze,5,dk†DEN,RB,22-185,80,25,34,73.5,401,222,13,15,86.7,10,14,71.4,2,4,50,0,0,0,1,1,1,0,3,13e27d90,5Isabella Obaze13e27d90,Portland Thorns FC
Mallie McKenzie,29,us†USA,RB,24-171,10,1,3,33.3,8,6,1,1,100,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13e27d90,29Mallie McKenzie13e27d90,Portland Thorns FC
Mackenzie Arnold,18,au†AUS,GK,31-067,90,20,30,66.7,519,387,2,2,100,12,12,100,6,16,37.5,0,0,0,0,1,0,0,0,13e27d90,18Mackenzie Arnold13e27d90,Portland Thorns FC
Barbra Banda,22,zm†ZAM,FW,25-044,90,10,16,62.5,150,53,5,7,71.4,3,3,100,1,1,100,0,0.3,0.6,3,0,1,0,1,13e27d90,22Barbra Banda13e27d90,Orlando Pride
Marta,10,br†BRA,FW,39-073,74,18,23,78.3,253,46,11,13,84.6,6,7,85.7,0,1,0,0,0.1,0,2,2,1,0,1,13e27d90,10Marta13e27d90,Orlando Pride
Prisca Chilufya,9,zm†ZAM,FW,25-329,16,3,5,60,44,7,1,2,50,2,2,100,0,0,0,0,0,0,0,0,0,0,1,13e27d90,9Prisca Chilufya13e27d90,Orlando Pride
Kerry Abello,25,us†USA,LM LB,25-228,90,48,55,87.3,704,250,25,26,96.2,21,26,80.8,1,1,100,0,0,0.3,0,4,3,1,6,13e27d90,25Kerry Abello13e27d90,Orlando Pride
