player,JerseyNumber,nation,pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-198,70,22,0,1,9,12,4,22,3,1,33.3,2,66.7,12,33,3,0,0,0,2,1,16,4,13e27d90,66Reilyn Turner13e27d90,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM FW,27-053,20,12,1,2,8,2,0,12,0,0,0,0,0,5,21,1,0,0,0,0,0,6,0,13e27d90,21Jessie Fleming13e27d90,Portland Thorns FC
Deyna Castellanos,10,ve VEN,LW FW,26-015,87,32,1,2,17,13,4,32,2,0,0,2,100,19,71,23,1,1,1,2,0,21,5,13e27d90,10Deyna Castellanos13e27d90,Portland Thorns FC
Sophie Hirst,14,us USA,FW,25-067,3,3,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13e27d90,14Sophie Hirst13e27d90,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,RW,30-005,70,23,2,3,11,9,2,23,0,0,0,0,0,13,59,27,1,1,0,3,2,14,2,13e27d90,26Marie-Yasmine Alidou13e27d90,Portland Thorns FC
Payton Linnehan,15,us USA,RW,24-039,20,21,0,0,9,12,3,21,1,0,0,1,100,12,101,7,1,1,1,1,1,14,4,13e27d90,15Payton Linnehan13e27d90,Portland Thorns FC
Hina Sugita,8,jp JPN,LM,28-092,90,57,2,15,27,16,0,57,5,2,40,3,60,32,375,36,0,1,0,1,1,35,4,13e27d90,8Hina Sugita13e27d90,Portland Thorns FC
Sam Coffey,17,us USA,CM RM,26-123,90,45,1,8,26,13,0,45,1,0,0,1,100,19,98,33,0,3,0,1,2,21,2,13e27d90,17Sam Coffey13e27d90,Portland Thorns FC
Olivia Moultrie,13,us USA,RM LW,19-228,89,52,2,7,23,22,2,52,3,1,33.3,2,66.7,32,135,54,1,2,0,3,1,33,4,13e27d90,13Olivia Moultrie13e27d90,Portland Thorns FC
Pietra Tordin,19,us USA,LW,21-034,1,4,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,2,2,2,1,13e27d90,19Pietra Tordin13e27d90,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-076,90,56,3,19,22,15,2,56,2,1,50,1,50,23,100,39,0,0,0,1,0,23,0,13e27d90,2Reyna Reyes13e27d90,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-072,90,44,6,28,16,0,0,44,1,0,0,1,100,22,89,49,0,0,0,0,0,24,0,13e27d90,24Jayden Perry13e27d90,Portland Thorns FC
