Player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-198,70,0,1,0,0,2,0,0,0,22,1,0,0,0.3,0.3,0.1,4,0,8,3,57.1,1,12,0,1,13e27d90,66ReilynTurner13e27d90,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM/FW,27-053,20,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,1,0,10,0,90.9,0,4,0,0,13e27d90,21JessieFleming13e27d90,Portland Thorns FC
Deyna Castellanos,10,ve VEN,LW/FW,26-015,87,0,0,0,0,2,0,0,0,32,0,0,2,0.1,0.1,0.2,4,0,12,2,60,2,20,1,0,13e27d90,10DeynaCastellanos13e27d90,Portland Thorns FC
Sophie Hirst,14,us USA,FW,25-067,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13e27d90,14SophieHirst13e27d90,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,RW,30-005,70,0,0,0,0,1,1,0,0,23,3,1,0,0.1,0.1,0,1,0,9,0,75,1,13,1,0,13e27d90,26Marie-YasmineAlidou13e27d90,Portland Thorns FC
Payton Linnehan,15,us USA,RW,24-039,20,0,0,0,0,2,1,0,0,22,0,0,1,0.4,0.4,0,0,0,11,1,73.3,3,12,1,0,13e27d90,15PaytonLinnehan13e27d90,Portland Thorns FC
Hina Sugita,8,jp JPN,LM,28-092,90,0,0,0,0,1,0,0,0,58,5,3,1,0,0,0.2,4,0,35,5,85.4,3,30,0,2,13e27d90,8HinaSugita13e27d90,Portland Thorns FC
Sam Coffey,17,us USA,CM/RM,26-123,90,0,0,0,0,1,0,0,0,47,6,1,0,0,0,0.1,4,0,30,1,85.7,6,18,0,0,13e27d90,17SamCoffey13e27d90,Portland Thorns FC
Olivia Moultrie,13,us USA,RM/LW,19-228,89,0,0,0,0,4,2,0,0,52,4,0,4,0.2,0.2,0.4,6,1,24,3,70.6,4,33,1,1,13e27d90,13OliviaMoultrie13e27d90,Portland Thorns FC
Pietra Tordin,19,us USA,LW,21-034,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13e27d90,19PietraTordin13e27d90,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-076,90,1,0,0,0,2,2,0,0,56,1,6,3,0.1,0.1,0,0,0,31,2,81.6,3,23,0,1,13e27d90,2ReynaReyes13e27d90,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-072,90,0,0,0,0,0,0,0,0,44,2,2,2,0,0,0,0,0,27,1,75,0,23,0,0,13e27d90,24JaydenPerry13e27d90,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-117,90,0,0,0,0,0,0,1,0,33,1,1,1,0,0,0,0,0,21,0,80.8,0,17,0,0,13e27d90,16SamanthaHiatt13e27d90,Portland Thorns FC
Isabella Obaze,5,dk DEN,RB,22-185,80,0,0,0,0,0,0,0,0,38,0,2,2,0,0,0,3,1,25,0,73.5,3,15,0,0,13e27d90,5IsabellaObaze13e27d90,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-171,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,33.3,0,1,0,0,13e27d90,29MallieMcKenzie13e27d90,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-067,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,21,0,70,0,19,0,0,13e27d90,18MackenzieArnold13e27d90,Portland Thorns FC
Barbra Banda,22,zm ZAM,FW,25-044,90,0,0,0,0,6,1,0,0,33,2,0,1,0.4,0.4,0.3,5,0,11,5,68.8,1,17,5,4,13e27d90,22BarbraBanda13e27d90,Orlando Pride
Marta,10,br BRA,FW,39-073,74,0,0,0,0,2,1,0,0,33,2,1,0,0.2,0.2,0.1,3,0,17,1,73.9,0,23,1,0,13e27d90,10Marta13e27d90,Orlando Pride
Prisca Chilufya,9,zm ZAM,FW,25-329,16,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,66.7,1,6,0,0,13e27d90,9PriscaChilufya13e27d90,Orlando Pride
Kerry Abello,25,us USA,LM/LB,25-228,90,0,0,0,0,0,0,0,0,53,1,0,1,0,0,0,1,0,44,2,89.8,6,28,1,1,13e27d90,25KerryAbello13e27d90,Orlando Pride
Haley Hanson,2,us USA,CM,29-090,90,0,0,0,0,0,0,0,0,39,3,0,1,0,0,0,2,0,20,1,69,4,20,0,0,13e27d90,2HaleyHanson13e27d90,Orlando Pride
Ally Lemos,30,us USA,CM,21-060,67,0,0,0,0,0,0,1,0,32,4,0,0,0,0,0.1,1,0,20,1,74.1,1,19,0,0,13e27d90,30AllyLemos13e27d90,Orlando Pride
Viviana Villacorta,14,us USA,CM,26-090,23,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,6,1,85.7,1,5,0,0,13e27d90,14VivianaVillacorta13e27d90,Orlando Pride
Ally Watt,11,us USA,RM,28-052,82,0,0,0,0,2,2,0,0,31,4,1,2,0.3,0.3,0,3,0,6,3,35.3,1,13,0,0,13e27d90,11AllyWatt13e27d90,Orlando Pride
Grace Chanda,23,zm ZAM,RM,27-326,8,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0,0,0,4,0,80,0,4,0,0,13e27d90,23GraceChanda13e27d90,Orlando Pride
Carson Pickett,19,us USA,LB,31-230,67,0,0,0,0,0,0,0,0,49,1,1,0,0,0,0,2,0,31,2,79.5,3,16,0,0,13e27d90,19CarsonPickett13e27d90,Orlando Pride
Angelina,15,br BRA,LM/LB,25-097,23,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0.3,2,0,21,0,72.4,2,13,0,0,13e27d90,15Angelina13e27d90,Orlando Pride
Zara Chavosi,34,ca CAN,CB,22-148,90,0,0,0,0,0,0,0,0,92,4,1,4,0,0,0,0,0,66,0,83.5,2,66,0,0,13e27d90,34ZaraChavosi13e27d90,Orlando Pride
Emily Sams,6,us USA,CB,25-306,90,0,0,0,0,0,0,0,0,73,0,2,1,0,0,0,0,0,57,2,87.7,7,39,1,2,13e27d90,6EmilySams13e27d90,Orlando Pride
Oihane Hernández,21,es ESP,RB,24-364,67,0,0,0,0,0,0,0,0,32,1,3,0,0,0,0,0,0,25,0,86.2,2,20,0,0,13e27d90,21OihaneHernández13e27d90,Orlando Pride
Cori Dyke,12,us USA,RB,24-225,23,0,0,0,0,0,0,0,0,27,1,1,0,0,0,0,1,0,17,0,70.8,1,13,1,0,13e27d90,12CoriDyke13e27d90,Orlando Pride
Anna Moorhouse,1,eng ENG,GK,30-034,50,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,14,0,87.5,0,13,0,0,13e27d90,1AnnaMoorhouse13e27d90,Orlando Pride
McKinley Crone,40,,GK,,40,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,15,0,88.2,0,9,0,0,13e27d90,40McKinleyCrone13e27d90,Orlando Pride
