player,JerseyNumber,nation,pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Deyna Castellanos,10,ve VEN,FW,26-009,73,19,0,2,8,11,0,19,2,1,50.0,1,50.0,12,99,65,2,1,0,4,0,10,2,1c087799,10Deyna Castellanos1c087799,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-028,17,4,0,0,0,4,3,4,2,0,0.0,2,100.0,3,7,0,0,0,0,0,0,3,0,1c087799,19Pietra Tordin1c087799,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-213,90,25,2,4,4,17,4,25,3,1,33.3,2,66.7,19,149,56,2,2,2,4,5,20,6,1c087799,7Caiya Hanks1c087799,Portland Thorns FC
Reilyn Turner,66,us USA,RW,22-192,66,23,3,6,12,5,4,23,4,1,25.0,3,75.0,10,60,2,0,0,0,2,1,12,2,1c087799,66Reilyn Turner1c087799,Portland Thorns FC
Payton Linnehan,15,us USA,RW,24-033,24,24,1,8,4,12,3,24,2,1,50.0,1,50.0,12,37,17,1,0,1,1,0,12,2,1c087799,15Payton Linnehan1c087799,Portland Thorns FC
Jessie Fleming,21,ca CAN,LM,27-047,73,34,2,9,14,11,3,33,1,0,0.0,1,100.0,19,92,40,1,1,1,2,0,22,1,1c087799,21Jessie Fleming1c087799,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,LM,29-364,17,12,0,3,4,5,2,12,2,0,0.0,2,100.0,8,45,22,1,0,0,0,1,8,2,1c087799,26Marie-Yasmine Alidou1c087799,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-086,90,42,4,20,14,8,1,42,1,1,100.0,0,0.0,21,112,34,0,0,0,1,2,23,2,1c087799,8Hina Sugita1c087799,Portland Thorns FC
Olivia Moultrie,13,us USA,RM,19-222,90,41,1,11,11,20,2,41,2,2,100.0,0,0.0,25,143,54,4,2,1,3,2,30,3,1c087799,13Olivia Moultrie1c087799,Portland Thorns FC
Mallie McKenzie,29,us USA,LB,24-165,66,39,3,20,8,11,0,39,1,0,0.0,1,100.0,10,54,0,0,0,0,2,0,13,0,1c087799,29Mallie McKenzie1c087799,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-070,24,12,1,7,3,2,1,12,0,0,0.0,0,0.0,7,35,8,0,0,0,0,2,7,2,1c087799,2Reyna Reyes1c087799,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-066,90,62,6,37,22,3,2,61,0,0,0.0,0,0.0,33,157,101,0,0,0,0,0,42,0,1c087799,24Jayden Perry1c087799,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-179,90,49,5,32,12,5,0,49,0,0,0.0,0,0.0,22,86,64,1,0,0,0,0,32,0,1c087799,5Isabella Obaze1c087799,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-041,82,44,2,17,22,6,2,44,0,0,0.0,0,0.0,16,59,27,1,0,0,2,0,20,0,1c087799,20Kaitlyn Torpey1c087799,Portland Thorns FC
Alexa Spaanstra,77,us USA,RB,25-085,8,8,0,2,3,3,1,8,0,0,0.0,0,0.0,3,10,5,0,0,0,1,0,3,0,1c087799,77Alexa Spaanstra1c087799,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-061,90,47,32,46,1,0,0,47,0,0,0.0,0,0.0,23,84,57,0,0,0,0,0,24,0,1c087799,18Mackenzie Arnold1c087799,Portland Thorns FC
Kayla Fischer,9,us USA,FW,25-112,67,24,0,1,12,11,8,24,0,0,0.0,0,0.0,13,68,25,1,1,1,0,3,15,3,1c087799,9Kayla Fischer1c087799,Racing Louisville
Sarah Weber,42,us USA,FW,22-072,23,4,0,0,3,1,0,4,0,0,0.0,0,0.0,3,4,0,0,0,0,0,1,4,1,1c087799,42Sarah Weber1c087799,Racing Louisville
Janine Beckie,16,ca CAN,LW,30-250,90,57,3,15,14,28,2,57,1,0,0.0,1,100.0,31,128,29,1,0,1,3,1,30,10,1c087799,16Janine Beckie1c087799,Racing Louisville
Emma Sears,13,us USA,RW,24-063,90,36,1,7,5,24,5,36,1,0,0.0,1,100.0,21,110,24,1,1,0,5,2,22,7,1c087799,13Emma Sears1c087799,Racing Louisville
Savannah Demelo,7,us USA,AM,27-032,74,31,2,5,12,15,3,31,0,0,0.0,0,0.0,20,66,21,0,1,0,3,3,20,3,1c087799,7Savannah Demelo1c087799,Racing Louisville
Katie O’Kane,20,,AM,,16,7,0,1,2,4,0,7,0,0,0.0,0,0.0,3,8,1,0,0,0,1,0,2,1,1c087799,20Katie O’Kane1c087799,Racing Louisville
Ary Borges,8,br BRA,DM,25-120,90,47,1,11,23,14,2,47,0,0,0.0,0,0.0,18,45,23,1,0,0,0,0,19,2,1c087799,8Ary Borges1c087799,Racing Louisville
Taylor Flint,26,us USA,DM,26-156,90,41,4,14,19,8,4,41,1,1,100.0,0,0.0,10,30,11,0,0,0,0,0,20,0,1c087799,26Taylor Flint1c087799,Racing Louisville
Courtney Petersen,11,us USA,LB,27-181,90,47,5,19,12,17,1,47,0,0,0.0,0,0.0,9,38,21,0,0,0,0,0,13,0,1c087799,11Courtney Petersen1c087799,Racing Louisville
Arin Wright,3,us USA,CB,32-123,90,21,5,12,9,0,0,21,0,0,0.0,0,0.0,9,58,18,1,0,0,0,0,9,0,1c087799,3Arin Wright1c087799,Racing Louisville
Ellie Jean,5,us USA,CB,28-086,90,40,10,23,15,3,0,40,1,0,0.0,1,100.0,11,45,24,0,0,0,2,0,14,0,1c087799,5Ellie Jean1c087799,Racing Louisville
Lauren Milliet,2,us USA,RB,28-147,90,42,6,15,12,15,1,42,1,0,0.0,1,100.0,14,59,39,1,0,0,0,0,18,0,1c087799,2Lauren Milliet1c087799,Racing Louisville
Katie Lund,1,us USA,GK,28-151,90,36,18,34,2,0,0,36,0,0,0.0,0,0.0,17,55,26,0,0,0,0,0,16,0,1c087799,1Katie Lund1c087799,Racing Louisville
