player,JerseyNumber,nation,Pos,age,min,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,arial_duels_won,arial_duels_lost,arial_duels_won_pct,game_id,player_id,team_name
Deyna Castellanos,10,ve VEN,FW,26-004,90,0,0,0,2,0,0,4,0,0,0,0,0,2,0,1,0.0,414d2972,10Deyna Castellanos414d2972,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-208,90,0,0,0,3,3,0,3,1,3,0,0,0,6,0,0,0.0,414d2972,7Caiya Hanks414d2972,Portland Thorns FC
Reilyn Turner,66,us USA,RW,22-187,69,0,0,0,0,2,0,1,1,0,0,0,0,2,2,0,100.0,414d2972,66Reilyn Turner414d2972,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-217,21,0,0,0,1,1,1,0,0,1,0,0,0,2,1,1,50.0,414d2972,13Olivia Moultrie414d2972,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,AM,29-359,82,0,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0.0,414d2972,26Marie-Yasmine Alidou414d2972,Portland Thorns FC
Sophie Hirst,14,us USA,AM,25-056,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,414d2972,14Sophie Hirst414d2972,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-112,90,0,0,0,2,0,0,0,2,1,0,0,0,6,0,0,0.0,414d2972,17Sam Coffey414d2972,Portland Thorns FC
Jessie Fleming,21,ca CAN,DM,27-042,62,0,0,0,2,0,0,1,1,3,0,0,0,6,0,0,0.0,414d2972,21Jessie Fleming414d2972,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-081,28,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0,414d2972,8Hina Sugita414d2972,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-065,90,1,0,0,1,2,1,0,2,2,0,0,0,5,0,1,0.0,414d2972,2Reyna Reyes414d2972,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-061,90,0,0,0,1,2,0,0,0,0,0,0,0,4,1,0,100.0,414d2972,24Jayden Perry414d2972,Portland Thorns FC
