player,JerseyNumber,nation,Pos,age,min,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,game_id,player_id,team_name
Deyna Castellanos,10,ve VEN,FW,26-004,90,27,21,5,1,1,1,4,0,3,2,0,0,14,1,0,414d2972,10Deyna Castellanos414d2972,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-208,90,24,24,0,0,0,0,3,0,0,0,0,0,20,0,0,414d2972,7Caiya Hanks414d2972,Portland Thorns FC
Reilyn Turner,66,us USA,RW,22-187,69,20,20,0,0,1,0,1,0,0,0,0,0,12,0,3,414d2972,66Reilyn Turner414d2972,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-217,21,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,414d2972,13Olivia Moultrie414d2972,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,AM,29-359,82,19,19,0,0,0,0,0,0,0,0,0,0,16,0,0,414d2972,26Marie-Yasmine Alidou414d2972,Portland Thorns FC
Sophie Hirst,14,us USA,AM,25-056,8,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,414d2972,14Sophie Hirst414d2972,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-112,90,36,34,1,0,0,0,0,0,0,0,0,0,29,1,1,414d2972,17Sam Coffey414d2972,Portland Thorns FC
Jessie Fleming,21,ca CAN,DM,27-042,62,32,32,0,0,0,0,1,0,0,0,0,0,23,0,2,414d2972,21Jessie Fleming414d2972,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-081,28,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,414d2972,8Hina Sugita414d2972,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-065,90,36,24,12,2,0,0,0,10,0,0,0,0,31,0,0,414d2972,2Reyna Reyes414d2972,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-061,90,50,44,5,3,0,0,0,0,0,0,0,0,41,1,0,414d2972,24Jayden Perry414d2972,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-174,83,29,27,2,2,0,0,0,0,0,0,0,0,27,0,1,414d2972,5Isabella Obaze414d2972,Portland Thorns FC
Daiane,34,br BRA,CB,27-227,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,414d2972,34Daiane414d2972,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-160,90,26,21,5,0,0,0,0,5,0,0,0,0,20,0,0,414d2972,29Mallie McKenzie414d2972,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-056,90,30,24,6,3,0,0,0,0,0,0,0,0,24,0,0,414d2972,18Mackenzie Arnold414d2972,Portland Thorns FC
Esther González,9,es ESP,FW CM,32-135,83,16,12,4,0,0,0,0,0,0,0,0,0,11,0,0,414d2972,9Esther González414d2972,Gotham FC
Khyah Harper,34,us USA,FW,22-250,7,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,414d2972,34Khyah Harper414d2972,Gotham FC
Gabi Portilho,18,br BRA,LM,29-278,73,21,20,0,0,0,0,0,0,0,0,0,0,18,1,0,414d2972,18Gabi Portilho414d2972,Gotham FC
Jéssica Silva,20,pt POR,RM LM,30-132,17,6,5,1,1,0,0,0,0,0,0,0,0,4,0,1,414d2972,20Jéssica Silva414d2972,Gotham FC
Jaelin Howell,7,us USA,CM DM,25-152,90,46,45,1,0,0,1,1,1,0,0,0,0,37,0,3,414d2972,7Jaelin Howell414d2972,Gotham FC
Sarah Schupansky,11,us USA,CM,21-240,90,34,25,8,3,0,0,12,0,5,5,0,0,16,1,2,414d2972,11Sarah Schupansky414d2972,Gotham FC
Bruninha,3,br BRA,RM,22-310,45,18,18,0,0,0,0,0,0,0,0,0,0,17,0,0,414d2972,3Bruninha414d2972,Gotham FC
Ella Stevens,13,us USA,RM LM,27-132,45,5,4,1,0,0,0,0,1,0,0,0,0,3,0,1,414d2972,13Ella Stevens414d2972,Gotham FC
Taryn Torres,8,us USA,DM,25-364,61,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0,414d2972,8Taryn Torres414d2972,Gotham FC
Geyse,10,br BRA,FW CM,27-026,29,5,3,2,1,0,0,0,0,0,0,0,0,4,0,0,414d2972,10Geyse414d2972,Gotham FC
Lilly Reale,4,us USA,LB,21-253,90,63,51,12,1,0,0,3,11,0,0,0,0,45,0,0,414d2972,4Lilly Reale414d2972,Gotham FC
Emily Sonnett,6,us USA,CB,31-148,90,88,83,5,4,0,0,0,1,0,0,0,0,83,0,0,414d2972,6Emily Sonnett414d2972,Gotham FC
Jess Carter,27,eng ENG,CB,27-177,90,81,74,7,5,0,0,0,1,0,0,0,0,74,0,0,414d2972,27Jess Carter414d2972,Gotham FC
Nealy Martin,14,us USA,RB,27-000,73,44,39,4,0,0,0,3,4,0,0,0,0,32,1,2,414d2972,14Nealy Martin414d2972,Gotham FC
Margaret Purce,23,us USA,RB,29-216,17,8,4,4,0,0,0,1,4,0,0,0,0,2,0,1,414d2972,23Margaret Purce414d2972,Gotham FC
Ann-Katrin Berger,30,de GER,GK,34-195,90,72,69,3,2,0,0,0,0,0,0,0,0,59,0,0,414d2972,30Ann-Katrin Berger414d2972,Gotham FC
