player,JerseyNumber,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Deyna Castellanos,10,ve VEN,FW,26-004,90,14,27,51.9,264,78,9,12,75.0,2,5,40.0,3,9,33.3,0,0.0,0.1,1,2,1,0,3,414d2972,10Deyna Castellanos414d2972,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-208,90,20,24,83.3,367,145,10,10,100.0,7,10,70.0,3,4,75.0,1,0.3,0.5,1,3,2,1,3,414d2972,7Caiya Hanks414d2972,Portland Thorns FC
Reilyn Turner,66,us USA,RW,22-187,69,12,20,60.0,207,40,5,7,71.4,5,8,62.5,2,3,66.7,0,0.0,0.3,0,0,1,1,0,414d2972,66Reilyn Turner414d2972,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-217,21,6,9,66.7,103,57,3,4,75.0,2,2,100.0,1,2,50.0,0,0.4,0.0,1,0,1,0,2,414d2972,13Olivia Moultrie414d2972,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,AM,29-359,82,16,19,84.2,264,129,8,9,88.9,5,6,83.3,2,2,100.0,0,0.0,0.1,1,3,1,0,4,414d2972,26Marie-Yasmine Alidou414d2972,Portland Thorns FC
Sophie Hirst,14,us USA,AM,25-056,8,4,4,100.0,102,44,1,1,100.0,1,1,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,1,414d2972,14Sophie Hirst414d2972,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-112,90,29,36,80.6,480,172,18,21,85.7,9,11,81.8,2,3,66.7,1,0.2,0.2,2,3,0,0,3,414d2972,17Sam Coffey414d2972,Portland Thorns FC
Jessie Fleming,21,ca CAN,DM,27-042,62,23,32,71.9,445,88,7,8,87.5,14,19,73.7,2,4,50.0,0,0.0,0.0,0,2,0,0,2,414d2972,21Jessie Fleming414d2972,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-081,28,5,8,62.5,75,20,4,5,80.0,1,3,33.3,0,0,0.0,0,0.0,0.0,0,0,0,0,0,414d2972,8Hina Sugita414d2972,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-065,90,31,36,86.1,512,256,15,15,100.0,13,15,86.7,3,6,50.0,0,0.0,0.0,0,1,2,0,5,414d2972,2Reyna Reyes414d2972,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-061,90,41,50,82.0,926,383,10,11,90.9,23,26,88.5,8,12,66.7,0,0.0,0.0,0,3,0,0,2,414d2972,24Jayden Perry414d2972,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-174,83,27,29,93.1,497,194,7,8,87.5,19,19,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,414d2972,5Isabella Obaze414d2972,Portland Thorns FC
Daiane,34,br BRA,CB,27-227,7,0,1,0.0,0,0,0,0,0.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,414d2972,34Daiane414d2972,Portland Thorns FC
