player,JerseyNumber,nation,Pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Deyna Castellanos,10,ve VEN,FW,26-004,90,39,0,2,21,16,3,39,2,0,0.0,2,100.0,18,48,9,0,1,0,5,2,24,5,414d2972,10Deyna Castellanos414d2972,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-208,90,42,1,4,14,25,11,42,2,2,100.0,0,0.0,28,263,169,5,3,4,3,1,31,8,414d2972,7Caiya Hanks414d2972,Portland Thorns FC
Reilyn Turner,66,us USA,RW,22-187,69,29,3,10,13,6,2,29,1,1,100.0,0,0.0,14,59,12,0,0,0,3,2,17,2,414d2972,66Reilyn Turner414d2972,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-217,21,14,0,4,7,4,0,14,0,0,0.0,0,0.0,4,6,2,0,0,0,2,0,8,2,414d2972,13Olivia Moultrie414d2972,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,AM,29-359,82,23,0,2,11,10,2,23,1,0,0.0,1,100.0,13,51,23,1,0,0,1,1,15,4,414d2972,26Marie-Yasmine Alidou414d2972,Portland Thorns FC
Sophie Hirst,14,us USA,AM,25-056,8,5,0,3,2,0,0,5,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,3,1,414d2972,14Sophie Hirst414d2972,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-112,90,42,3,19,16,7,2,42,1,0,0.0,1,100.0,15,89,55,1,0,0,0,2,26,2,414d2972,17Sam Coffey414d2972,Portland Thorns FC
Jessie Fleming,21,ca CAN,DM,27-042,62,39,2,20,14,5,2,39,0,0,0.0,0,0.0,16,115,54,1,0,0,1,1,26,0,414d2972,21Jessie Fleming414d2972,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-081,28,14,2,3,5,6,1,14,1,1,100.0,0,0.0,7,20,10,0,0,0,0,0,8,4,414d2972,8Hina Sugita414d2972,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-065,90,47,2,23,13,12,0,47,2,1,50.0,1,50.0,13,67,32,0,2,0,1,0,18,1,414d2972,2Reyna Reyes414d2972,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-061,90,57,10,44,11,3,1,56,1,1,100.0,0,0.0,25,91,30,0,0,0,0,0,40,0,414d2972,24Jayden Perry414d2972,Portland Thorns FC
