player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,game_id,player_id,team_name
Deyna Castellanos,10,ve VEN,FW,26-004,90,1,0,0,0,2,2,0,0,39,0,0,1,0.2,0.2,0,2,1,14,2,51.9,3,18,0,0,414d2972,10DeynaCastellanos414d2972,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-208,90,1,1,0,0,5,3,0,0,42,4,1,2,0.7,0.7,0.3,5,1,20,2,83.3,3,28,5,2,414d2972,7CaiyaHanks414d2972,Portland Thorns FC
Reilyn Turner,66,us USA,RW,22-187,69,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,12,1,60,0,14,0,1,414d2972,66ReilynTurner414d2972,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-217,21,0,0,0,0,0,0,0,0,14,1,0,1,0,0,0.4,2,0,6,0,66.7,2,4,0,0,414d2972,13OliviaMoultrie414d2972,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,AM,29-359,82,1,0,0,0,1,1,0,0,23,0,0,1,0.3,0.3,0,2,1,16,1,84.2,4,13,1,0,414d2972,26Marie-YasmineAlidou414d2972,Portland Thorns FC
Sophie Hirst,14,us USA,AM,25-056,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4,0,100,1,0,0,0,414d2972,14SophieHirst414d2972,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-112,90,0,1,0,0,1,0,0,0,42,1,2,0,0.1,0.1,0.2,4,2,29,1,80.6,3,15,1,0,414d2972,17SamCoffey414d2972,Portland Thorns FC
Jessie Fleming,21,ca CAN,DM,27-042,62,0,0,0,0,0,0,0,0,39,3,1,2,0,0,0,0,0,23,0,71.9,2,16,1,0,414d2972,21JessieFleming414d2972,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-081,28,0,0,0,0,1,0,0,0,14,1,1,1,0,0,0,0,0,5,1,62.5,0,7,0,1,414d2972,8HinaSugita414d2972,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-065,90,0,0,0,0,0,0,1,0,47,3,2,1,0,0,0,1,1,31,2,86.1,5,13,0,1,414d2972,2ReynaReyes414d2972,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-061,90,1,0,1,1,0,0,0,0,57,1,0,1,0.7,0,0,0,0,41,1,82,2,25,0,1,414d2972,24JaydenPerry414d2972,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-174,83,0,0,0,0,0,0,0,0,38,0,1,0,0,0,0,1,0,27,0,93.1,1,18,0,0,414d2972,5IsabellaObaze414d2972,Portland Thorns FC
Daiane,34,br BRA,CB,27-227,7,0,0,0,0,0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,414d2972,34Daiane414d2972,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-160,90,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,1,20,0,76.9,3,10,1,0,414d2972,29MallieMcKenzie414d2972,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-056,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,24,0,80,0,19,0,0,414d2972,18MackenzieArnold414d2972,Portland Thorns FC
Esther González,9,es ESP,FW CM,32-135,83,1,0,0,0,2,2,0,0,18,0,0,1,0.6,0.6,0,0,0,11,0,68.8,2,10,1,0,414d2972,9EstherGonzález414d2972,Gotham FC
Khyah Harper,34,us USA,FW,22-250,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,50,0,2,0,0,414d2972,34KhyahHarper414d2972,Gotham FC
