player,JerseyNumber,nation,pos,age,min,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,game_id,player_id,team_name
Caiya Hanks,7,us USA,FW,20-184,74,14,12,2,0,0,0,1,2,0,0,0,0,8,0,1,475a847a,7Caiya Hanks475a847a,Portland Thorns
Alexa Spaanstra,77,us USA,FW,25-056,16,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,475a847a,77Alexa Spaanstra475a847a,Portland Thorns
Reilyn Turner,66,us USA,FW,22-163,74,19,19,0,0,0,0,0,0,0,0,0,0,12,0,3,475a847a,66Reilyn Turner475a847a,Portland Thorns
Pietra Tordin,19,us USA,FW,20-364,16,6,4,2,0,0,0,0,2,0,0,0,0,5,0,0,475a847a,19Pietra Tordin475a847a,Portland Thorns
Hina Sugita,8,jp JPN,LM,28-057,90,49,49,0,0,0,0,2,0,0,0,0,0,31,0,3,475a847a,8Hina Sugita475a847a,Portland Thorns
Deyna Castellanos,10,ve VEN,CM,25-345,58,16,14,2,2,0,0,1,0,0,0,0,0,11,0,0,475a847a,10Deyna Castellanos475a847a,Portland Thorns
Jessie Fleming,21,ca CAN,CM,27-018,32,12,12,0,0,0,0,1,0,0,0,0,0,5,0,2,475a847a,21Jessie Fleming475a847a,Portland Thorns
Olivia Moultrie,13,us USA,RM,19-193,90,48,39,9,0,0,0,10,1,8,6,2,0,33,0,3,475a847a,13Olivia Moultrie475a847a,Portland Thorns
Sam Coffey,17,us USA,DM,26-088,90,38,37,1,0,0,1,0,0,0,0,0,0,31,0,1,475a847a,17Sam Coffey475a847a,Portland Thorns
Reyna Reyes,2,mx MEX,LB,24-041,90,64,50,14,1,0,0,0,13,0,0,0,0,49,0,1,475a847a,2Reyna Reyes475a847a,Portland Thorns
Isabella Obaze,5,dk DEN,CB,22-150,90,40,40,0,0,0,0,0,0,0,0,0,0,34,0,1,475a847a,5Isabella Obaze475a847a,Portland Thorns
Samantha Hiatt,16,us USA,CB,27-082,90,31,31,0,0,0,0,0,0,0,0,0,0,26,0,0,475a847a,16Samantha Hiatt475a847a,Portland Thorns
Kaitlyn Torpey,20,au AUS,RB,25-012,90,43,35,8,0,0,0,3,8,0,0,0,0,39,0,1,475a847a,20Kaitlyn Torpey475a847a,Portland Thorns
Mackenzie Arnold,18,au AUS,GK,31-032,90,31,21,9,1,0,0,0,0,0,0,0,0,24,1,0,475a847a,18Mackenzie Arnold475a847a,Portland Thorns
Hannah Betfort,30,us USA,FW,26-084,86,20,20,0,0,0,0,4,0,0,0,0,0,11,0,0,475a847a,30Hannah Betfort475a847a,North Carolina Courage
Brooklyn Courtnall,24,ca CAN,FW,22-091,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,475a847a,24Brooklyn Courtnall475a847a,North Carolina Courage
Meredith Speck,25,us USA,LW,32-056,61,29,26,3,0,0,0,5,3,0,0,0,0,18,0,1,475a847a,25Meredith Speck475a847a,North Carolina Courage
Manaka Matsukubo,34,jp JPN,LW,20-244,29,11,11,0,0,0,0,1,0,0,0,0,0,9,0,0,475a847a,34Manaka Matsukubo475a847a,North Carolina Courage
Ashley Sanchez,2,us USA,RW,26-013,90,33,31,2,0,0,0,6,2,0,0,0,0,23,0,1,475a847a,2Ashley Sanchez475a847a,North Carolina Courage
Shinomi Koyama,20,jp JPN,LM,20-057,70,38,38,0,0,0,0,1,0,0,0,0,0,36,0,1,475a847a,20Shinomi Koyama475a847a,North Carolina Courage
Riley Jackson,16,us USA,LM,19-117,20,8,7,1,1,0,0,1,0,0,0,0,0,5,0,0,475a847a,16Riley Jackson475a847a,North Carolina Courage
Denise O'Sullivan,10,ie IRL,CM,31-053,90,58,56,2,0,0,0,0,2,0,0,0,0,46,0,3,475a847a,10Denise O'Sullivan475a847a,North Carolina Courage
Jaedyn Shaw,19,us USA,RM,20-129,86,45,40,5,2,0,0,5,0,2,1,0,0,32,0,1,475a847a,19Jaedyn Shaw475a847a,North Carolina Courage
Brianna Pinto,8,us USA,RM,24-309,4,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,475a847a,8Brianna Pinto475a847a,North Carolina Courage
Talia Staude,12,us USA,LB,23-343,90,55,50,5,0,0,0,1,5,0,0,0,0,48,0,0,475a847a,12Talia Staude475a847a,North Carolina Courage
Malia Berkely,7,us USA,CB,27-044,90,51,49,2,2,0,0,0,0,0,0,0,0,42,0,1,475a847a,7Malia Berkely475a847a,North Carolina Courage
Kaleigh Kurtz,3,us USA,CB,27-201,90,61,58,3,3,0,0,1,0,0,0,0,0,50,0,1,475a847a,3Kaleigh Kurtz475a847a,North Carolina Courage
Ryan Williams,13,us USA,RB,29-034,90,89,74,15,1,0,0,2,14,0,0,0,0,72,0,4,475a847a,13Ryan Williams475a847a,North Carolina Courage
Casey Murphy,1,us USA,GK,28-338,90,44,33,11,0,0,0,0,0,0,0,0,0,38,0,0,475a847a,1Casey Murphy475a847a,North Carolina Courage
