player,JerseyNumber,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Caiya Hanks,7,us USA,FW,20-184,74,8,14,57.1,112,44,3,4,75.0,4,7,57.1,0,0,0.0,0,0.0,0.0,0,0,0,0,0,475a847a,7Caiya Hanks475a847a,Portland Thorns FC
Alexa Spaanstra,77,us USA,FW,25-056,16,1,3,33.3,11,8,1,2,50.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,475a847a,77Alexa Spaanstra475a847a,Portland Thorns FC
Reilyn Turner,66,us USA,FW,22-163,74,12,19,63.2,128,28,7,9,77.8,2,2,100.0,0,0,0.0,0,0.0,0.1,1,1,0,0,1,475a847a,66Reilyn Turner475a847a,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-364,16,5,6,83.3,58,42,4,5,80.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,475a847a,19Pietra Tordin475a847a,Portland Thorns FC
Hina Sugita,8,jp JPN,LM,28-057,90,31,49,63.3,412,205,16,20,80.0,9,14,64.3,2,8,25.0,0,0.0,0.1,1,2,2,0,6,475a847a,8Hina Sugita475a847a,Portland Thorns FC
Deyna Castellanos,10,ve VEN,CM,25-345,58,11,16,68.8,175,77,5,5,100.0,6,7,85.7,0,3,0.0,0,0.0,0.1,0,1,3,0,4,475a847a,10Deyna Castellanos475a847a,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM,27-018,32,5,12,41.7,66,11,3,4,75.0,2,3,66.7,0,3,0.0,0,0.0,0.0,1,1,0,0,0,475a847a,21Jessie Fleming475a847a,Portland Thorns FC
Olivia Moultrie,13,us USA,RM,19-193,90,33,48,68.8,613,273,15,20,75.0,11,11,100.0,6,13,46.2,0,0.6,0.4,4,2,3,0,9,475a847a,13Olivia Moultrie475a847a,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-088,90,31,38,81.6,455,160,19,22,86.4,9,11,81.8,2,3,66.7,0,0.2,0.2,3,3,3,0,8,475a847a,17Sam Coffey475a847a,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-041,90,49,64,76.6,680,295,32,38,84.2,14,17,82.4,1,2,50.0,0,0.0,0.0,0,0,0,0,1,475a847a,2Reyna Reyes475a847a,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-150,90,34,40,85.0,534,253,11,13,84.6,21,24,87.5,0,0,0.0,0,0.0,0.0,0,2,0,0,0,475a847a,5Isabella Obaze475a847a,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-082,90,26,31,83.9,394,216,13,13,100.0,13,16,81.3,0,2,0.0,0,0.0,0.0,0,2,0,0,1,475a847a,16Samantha Hiatt475a847a,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-012,90,39,43,90.7,581,232,18,19,94.7,20,21,95.2,0,1,0.0,0,0.4,0.2,2,3,2,1,5,475a847a,20Kaitlyn Torpey475a847a,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-032,90,24,31,77.4,556,349,3,3,100.0,16,16,100.0,5,11,45.5,0,0.0,0.0,0,0,0,0,0,475a847a,18Mackenzie Arnold475a847a,Portland Thorns FC
Hannah Betfort,30,us USA,FW,26-084,86,11,20,55.0,166,6,5,8,62.5,6,10,60.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,475a847a,30Hannah Betfort475a847a,North Carolina Courage
Brooklyn Courtnall,24,ca CAN,FW,22-091,4,1,1,100.0,17,0,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,475a847a,24Brooklyn Courtnall475a847a,North Carolina Courage
Meredith Speck,25,us USA,LW,32-056,61,18,29,62.1,258,31,10,13,76.9,8,13,61.5,0,1,0.0,0,0.0,0.1,0,0,1,0,1,475a847a,25Meredith Speck475a847a,North Carolina Courage
Manaka Matsukubo,34,jp JPN,LW,20-244,29,9,11,81.8,135,43,2,3,66.7,6,7,85.7,0,0,0.0,0,0.0,0.0,0,0,1,0,1,475a847a,34Manaka Matsukubo475a847a,North Carolina Courage
Ashley Sanchez,2,us USA,RW,26-013,90,23,33,69.7,379,133,13,14,92.9,9,15,60.0,1,2,50.0,0,0.1,0.1,1,1,1,1,3,475a847a,2Ashley Sanchez475a847a,North Carolina Courage
Shinomi Koyama,20,jp JPN,LM,20-057,70,36,38,94.7,668,204,9,9,100.0,26,27,96.3,1,1,100.0,0,0.7,0.2,3,2,1,1,9,475a847a,20Shinomi Koyama475a847a,North Carolina Courage
Riley Jackson,16,us USA,LM,19-117,20,5,8,62.5,97,45,1,1,100.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,1,475a847a,16Riley Jackson475a847a,North Carolina Courage
Denise O'Sullivan,10,ie IRL,CM,31-053,90,46,58,79.3,700,257,27,32,84.4,18,21,85.7,1,2,50.0,0,0.1,0.1,2,5,1,0,5,475a847a,10Denise O'Sullivan475a847a,North Carolina Courage
Jaedyn Shaw,19,us USA,RM,20-129,86,32,45,71.1,482,122,18,21,85.7,13,17,76.5,1,6,16.7,0,0.4,0.2,3,0,2,0,6,475a847a,19Jaedyn Shaw475a847a,North Carolina Courage
Brianna Pinto,8,us USA,RM,24-309,4,1,3,33.3,13,8,1,1,100.0,0,2,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,475a847a,8Brianna Pinto475a847a,North Carolina Courage
Talia Staude,12,us USA,LB,23-343,90,48,55,87.3,728,295,27,30,90.0,20,22,90.9,0,1,0.0,0,0.0,0.3,0,9,1,0,13,475a847a,12Talia Staude475a847a,North Carolina Courage
Malia Berkely,7,us USA,CB,27-044,90,42,51,82.4,934,390,7,8,87.5,27,28,96.4,8,14,57.1,0,0.0,0.0,0,8,0,0,2,475a847a,7Malia Berkely475a847a,North Carolina Courage
