player,JerseyNumber,nation,pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Caiya Hanks,7,us USA,FW,20-184,74,22,0,2,8,12,4,22,1,0,0.0,1,100.0,13,100,29,1,1,2,3,3,13,7,475a847a,7Caiya Hanks475a847a,Portland Thorns FC
Alexa Spaanstra,77,us USA,FW,25-056,16,6,0,0,2,4,0,6,1,0,0.0,1,100.0,2,5,0,0,0,0,0,0,2,1,475a847a,77Alexa Spaanstra475a847a,Portland Thorns FC
Reilyn Turner,66,us USA,FW,22-163,74,27,0,1,14,13,10,27,2,1,50.0,1,50.0,13,71,26,1,1,0,2,0,17,7,475a847a,66Reilyn Turner475a847a,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-364,16,11,0,1,3,7,3,11,2,0,0.0,2,100.0,5,49,2,0,0,0,0,0,7,4,475a847a,19Pietra Tordin475a847a,Portland Thorns FC
Hina Sugita,8,jp JPN,LM,28-057,90,74,3,18,25,31,10,74,2,0,0.0,2,100.0,33,141,87,1,0,0,3,3,39,6,475a847a,8Hina Sugita475a847a,Portland Thorns FC
Deyna Castellanos,10,ve VEN,CM,25-345,58,30,0,8,14,8,0,30,4,2,50.0,2,50.0,16,79,36,0,1,0,1,2,16,0,475a847a,10Deyna Castellanos475a847a,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM,27-018,32,15,0,6,8,2,1,15,3,1,33.3,2,66.7,8,43,29,1,0,1,0,0,10,0,475a847a,21Jessie Fleming475a847a,Portland Thorns FC
Olivia Moultrie,13,us USA,RM,19-193,90,66,0,16,22,28,5,66,5,0,0.0,5,100.0,37,245,85,4,0,0,3,3,37,5,475a847a,13Olivia Moultrie475a847a,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-088,90,55,6,15,24,19,1,55,1,1,100.0,0,0.0,33,195,73,3,5,0,4,1,31,0,475a847a,17Sam Coffey475a847a,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-041,90,84,4,39,25,21,3,84,4,1,25.0,3,75.0,34,201,82,1,1,0,0,2,35,1,475a847a,2Reyna Reyes475a847a,Portland Thorns FC
