minute,player,squad,xg,psxg,outcome,distance,body_part,notes,sca_1_player,sca_1_event,sca_2_player,sca_2_event,shot_id,game_id,player_id
9,Denise O'Sullivan,Club Crest Courage,0.03,,Off Target,27,Right Foot,,Shinomi Koyama,Pass (Live),Meredith Speck,Pass (Live),110,475a847a,10DeniseO'Sullivan475a847a475a847a
11,Sam Coffey,Club Crest Thorns,0.09,,Off Target,7,Head,,Olivia Moultrie,Pass (Dead),Reilyn Turner,Pass (Live),111,475a847a,17SamCoffey475a847a475a847a
12,Jaedyn Shaw,Club Crest Courage,0.04,,Off Target,21,Right Foot,,Denise O'Sullivan,Pass (Live),Denise O'Sullivan,Tackle,112,475a847a,19JaedynShaw475a847a475a847a
13,Samantha Hiatt,Club Crest Thorns,0.06,,Off Target,10,Head,,Olivia Moultrie,Pass (Dead),Hina Sugita,Pass (Live),113,475a847a,16SamanthaHiatt475a847a475a847a
15,Talia Staude,Club Crest Courage,0.06,,Off Target,11,Head,,Ryan Williams,Pass (Live),Malia Berkely,Pass (Live),114,475a847a,12TaliaStaude475a847a475a847a
17,Reilyn Turner,Club Crest Thorns,0.11,,Blocked,12,Left Foot,,Reilyn Turner,Take-On,,,115,475a847a,66ReilynTurner475a847a475a847a
18,Olivia Moultrie,Club Crest Thorns,0.04,,Off Target,21,Left Foot,,Reilyn Turner,Pass (Live),Olivia Moultrie,Pass (Live),116,475a847a,13OliviaMoultrie475a847a475a847a
20,Hannah Betfort,Club Crest Courage,0.07,,Woodwork,10,Head,,Ryan Williams,Pass (Live),Kaleigh Kurtz,Pass (Live),117,475a847a,30HannahBetfort475a847a475a847a
21,Reilyn Turner,Club Crest Thorns,0.06,,Blocked,11,Head,,Olivia Moultrie,Pass (Dead),Reilyn Turner,Pass (Live),118,475a847a,66ReilynTurner475a847a475a847a
22,Hina Sugita,Club Crest Thorns,0.03,,Blocked,23,Right Foot,,Kaitlyn Torpey,Pass (Live),Reyna Reyes,Pass (Live),119,475a847a,8HinaSugita475a847a475a847a
