player,JerseyNumber,nation,Pos,age,min,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-241,66,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,692f1ab8,66Reilyn Turner692f1ab8,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-077,24,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,692f1ab8,19Pietra Tordin692f1ab8,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-262,45,10,8,2,0,0,0,1,2,0,0,0,0,9,0,0,692f1ab8,7Caiya Hanks692f1ab8,Portland Thorns FC
Payton Linnehan,15,us USA,LW,24-082,45,13,13,0,0,0,0,2,0,0,0,0,0,8,0,0,692f1ab8,15Payton Linnehan692f1ab8,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-271,66,23,17,6,2,0,0,6,1,3,3,0,0,14,0,1,692f1ab8,13Olivia Moultrie692f1ab8,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,RW,30-048,24,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,692f1ab8,26Marie-Yasmine Alidou692f1ab8,Portland Thorns FC
Jessie Fleming,21,ca CAN,AM,27-096,90,34,33,1,1,0,0,2,0,0,0,0,0,22,0,3,692f1ab8,21Jessie Fleming692f1ab8,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-166,90,39,31,8,2,0,0,4,2,3,2,0,0,29,0,1,692f1ab8,17Sam Coffey692f1ab8,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-135,66,27,26,1,1,0,0,0,0,0,0,0,0,20,0,0,692f1ab8,8Hina Sugita692f1ab8,Portland Thorns FC
Deyna Castellanos,10,ve VEN,DM,26-058,24,5,5,0,0,0,0,1,0,0,0,0,0,2,0,1,692f1ab8,10Deyna Castellanos692f1ab8,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-119,90,49,34,15,1,0,0,2,14,0,0,0,0,40,0,2,692f1ab8,2Reyna Reyes692f1ab8,Portland Thorns FC
