player,JerseyNumber,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-241,66,8,9,88.9,98,27,5,5,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,692f1ab8,66Reilyn Turner692f1ab8,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-077,24,4,5,80.0,58,16,2,2,100.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0,0,0,0,2,692f1ab8,19Pietra Tordin692f1ab8,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-262,45,9,10,90.0,97,33,8,8,100.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0,0,1,0,2,692f1ab8,7Caiya Hanks692f1ab8,Portland Thorns FC
Payton Linnehan,15,us USA,LW,24-082,45,8,13,61.5,113,36,5,6,83.3,1,3,33.3,1,3,33.3,0,0.0,0.0,0,1,0,0,1,692f1ab8,15Payton Linnehan692f1ab8,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-271,66,14,23,60.9,245,85,6,6,100.0,5,7,71.4,2,6,33.3,0,0.2,0.2,2,1,1,0,3,692f1ab8,13Olivia Moultrie692f1ab8,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,RW,30-048,24,4,5,80.0,55,17,3,3,100.0,1,2,50.0,0,0,0.0,0,0.1,0.0,1,1,0,0,1,692f1ab8,26Marie-Yasmine Alidou692f1ab8,Portland Thorns FC
Jessie Fleming,21,ca CAN,AM,27-096,90,22,34,64.7,363,220,14,15,93.3,3,9,33.3,4,5,80.0,2,0.6,0.4,3,5,2,1,5,692f1ab8,21Jessie Fleming692f1ab8,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-166,90,29,39,74.4,458,159,13,15,86.7,12,13,92.3,2,7,28.6,0,0.1,0.1,2,1,2,0,5,692f1ab8,17Sam Coffey692f1ab8,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-135,66,20,27,74.1,281,60,11,14,78.6,8,11,72.7,0,1,0.0,0,0.0,0.0,1,4,0,0,4,692f1ab8,8Hina Sugita692f1ab8,Portland Thorns FC
Deyna Castellanos,10,ve VEN,DM,26-058,24,2,5,40.0,57,26,1,2,50.0,0,1,0.0,1,2,50.0,0,0.0,0.0,1,1,0,0,1,692f1ab8,10Deyna Castellanos692f1ab8,Portland Thorns FC
