player,JerseyNumber,nation,Pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-241,66,19,0,3,7,9,6,19,1,1,100.0,0,0.0,12,29,7,0,0,0,4,0,13,2,692f1ab8,66Reilyn Turner692f1ab8,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-077,24,7,0,0,1,6,0,7,0,0,0.0,0,0.0,5,13,4,0,0,0,1,0,7,3,692f1ab8,19Pietra Tordin692f1ab8,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-262,45,17,0,2,4,11,0,17,0,0,0.0,0,0.0,10,68,6,1,1,0,2,4,8,3,692f1ab8,7Caiya Hanks692f1ab8,Portland Thorns FC
Payton Linnehan,15,us USA,LW,24-082,45,16,1,4,2,10,2,16,1,1,100.0,0,0.0,10,64,48,2,1,1,1,0,11,4,692f1ab8,15Payton Linnehan692f1ab8,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-271,66,28,1,2,8,18,2,28,0,0,0.0,0,0.0,16,87,35,0,1,0,1,0,18,2,692f1ab8,13Olivia Moultrie692f1ab8,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,RW,30-048,24,9,1,1,3,5,2,9,0,0,0.0,0,0.0,5,20,2,0,0,0,2,0,6,2,692f1ab8,26Marie-Yasmine Alidou692f1ab8,Portland Thorns FC
Jessie Fleming,21,ca CAN,AM,27-096,90,44,1,7,20,17,3,44,1,0,0.0,1,100.0,21,50,19,0,0,0,1,1,30,7,692f1ab8,21Jessie Fleming692f1ab8,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-166,90,51,1,9,19,25,2,51,0,0,0.0,0,0.0,25,100,41,1,2,0,3,1,26,1,692f1ab8,17Sam Coffey692f1ab8,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-135,66,37,1,6,21,10,1,37,1,1,100.0,0,0.0,25,133,68,2,0,0,1,1,27,0,692f1ab8,8Hina Sugita692f1ab8,Portland Thorns FC
Deyna Castellanos,10,ve VEN,DM,26-058,24,9,2,4,3,2,0,9,0,0,0.0,0,0.0,4,14,8,0,0,0,0,0,4,1,692f1ab8,10Deyna Castellanos692f1ab8,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-119,90,59,5,22,21,16,2,59,1,1,100.0,0,0.0,27,128,65,1,0,0,0,0,27,3,692f1ab8,2Reyna Reyes692f1ab8,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-228,90,54,15,33,16,5,1,54,1,1,100.0,0,0.0,28,58,32,1,2,0,2,0,35,1,692f1ab8,5Isabella Obaze692f1ab8,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-160,90,52,8,24,23,5,2,52,0,0,0.0,0,0.0,28,136,96,0,1,0,1,2,34,2,692f1ab8,16Samantha Hiatt692f1ab8,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-090,77,33,2,7,19,8,2,33,0,0,0.0,0,0.0,15,57,36,0,1,0,0,0,14,4,692f1ab8,20Kaitlyn Torpey692f1ab8,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-214,13,2,0,1,1,0,0,2,0,0,0.0,0,0.0,1,6,0,0,0,0,0,1,1,0,692f1ab8,29Mallie McKenzie692f1ab8,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-207,90,32,25,32,0,0,0,32,0,0,0.0,0,0.0,16,83,48,0,0,0,0,0,11,0,692f1ab8,1Bella Bixby692f1ab8,Portland Thorns FC
