player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-241,66,1,0,0,0,4,1,0,0,19,0,0,1,0.7,0.7,0,2,0,8,1,88.9,1,12,0,1,692f1ab8,66ReilynTurner692f1ab8,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-077,24,1,0,0,0,1,1,0,0,7,1,0,0,0.1,0.1,0,1,0,4,0,80,2,5,0,0,692f1ab8,19PietraTordin692f1ab8,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-262,45,0,0,0,0,0,0,0,0,17,1,0,4,0,0,0,0,0,9,0,90,2,10,1,0,692f1ab8,7CaiyaHanks692f1ab8,Portland Thorns FC
Payton Linnehan,15,us USA,LW,24-082,45,0,0,0,0,1,1,0,0,16,1,0,0,0,0,0,0,0,8,1,61.5,1,10,2,1,692f1ab8,15PaytonLinnehan692f1ab8,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-271,66,0,0,0,0,1,0,0,0,28,1,0,2,0,0,0.2,3,0,14,0,60.9,3,16,0,0,692f1ab8,13OliviaMoultrie692f1ab8,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,RW,30-048,24,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0.1,1,0,4,0,80,1,5,0,0,692f1ab8,26Marie-YasmineAlidou692f1ab8,Portland Thorns FC
Jessie Fleming,21,ca CAN,AM,27-096,90,0,2,0,0,4,1,0,0,44,0,1,0,0.2,0.2,0.6,3,2,22,1,64.7,5,21,0,0,692f1ab8,21JessieFleming692f1ab8,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-166,90,0,0,0,0,1,0,1,0,51,7,1,1,0.1,0.1,0.1,4,0,29,0,74.4,5,25,1,0,692f1ab8,17SamCoffey692f1ab8,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-135,66,0,0,0,0,2,0,0,0,37,2,2,1,0.3,0.3,0,3,0,20,1,74.1,4,25,2,1,692f1ab8,8HinaSugita692f1ab8,Portland Thorns FC
Deyna Castellanos,10,ve VEN,DM,26-058,24,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,1,0,2,0,40,1,4,0,0,692f1ab8,10DeynaCastellanos692f1ab8,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-119,90,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,3,1,40,1,81.6,3,27,1,1,692f1ab8,2ReynaReyes692f1ab8,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-228,90,0,0,0,0,0,0,0,0,54,2,0,3,0,0,0.1,4,0,37,1,84.1,2,28,1,1,692f1ab8,5IsabellaObaze692f1ab8,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-160,90,0,0,0,0,1,1,0,0,52,0,0,3,0.2,0.2,0.2,2,1,35,0,89.7,5,28,0,0,692f1ab8,16SamanthaHiatt692f1ab8,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-090,77,0,0,0,0,1,1,0,0,33,4,0,0,0,0,0.1,1,0,21,0,87.5,1,15,0,0,692f1ab8,20KaitlynTorpey692f1ab8,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-214,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,692f1ab8,29MallieMcKenzie692f1ab8,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-207,90,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,22,0,73.3,0,16,0,0,692f1ab8,1BellaBixby692f1ab8,Portland Thorns FC
Gift Monday,21,ng NGA,FW,23-188,90,0,0,0,0,2,2,0,0,38,1,0,1,0.2,0.2,0.1,2,0,18,6,78.3,1,19,2,1,692f1ab8,21GiftMonday692f1ab8,Washington Spirit
Rosemonde Kouassi,19,ci CIV,LW,23-171,90,0,0,0,0,2,0,0,0,40,2,0,0,0.1,0.1,0.2,2,0,23,2,82.1,3,23,1,1,692f1ab8,19RosemondeKouassi692f1ab8,Washington Spirit
