player,JerseyNumber,nation,pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Kimmi Ascanio,17,us USA,FW,17-109,77,23,1,5,13,5,1,23,0,0,0,0,0,15,43,13,0,0,0,4,4,16,2,6a832d3c,17Kimmi Ascanio6a832d3c,San Diego Wave
Kyra Carusa,19,ie IRL,FW,29-177,13,6,0,1,3,3,0,6,0,0,0,0,0,3,7,1,0,0,0,1,0,4,1,6a832d3c,19Kyra Carusa6a832d3c,San Diego Wave
Maria Sanchez,7,mx MEX,LW,29-079,43,9,1,1,5,3,0,9,0,0,0,0,0,9,67,26,0,0,0,0,0,7,1,6a832d3c,7Maria Sanchez6a832d3c,San Diego Wave
Kristen McNabb,14,us USA,CB LW,31-023,47,36,5,28,10,0,0,36,1,1,100,0,0,26,110,50,0,0,0,0,1,27,0,6a832d3c,14Kristen McNabb6a832d3c,San Diego Wave
Delphine Cascarino,20,fr FRA,RW,28-094,86,39,1,13,19,8,1,39,2,2,100,0,0,23,155,85,2,1,1,5,2,27,2,6a832d3c,20Delphine Cascarino6a832d3c,San Diego Wave
Makenzy Doniak,15,us USA,RW,31-074,4,7,2,3,3,1,0,7,1,0,0,0,0,2,6,0,0,0,0,0,0,3,1,6a832d3c,15Makenzy Doniak6a832d3c,San Diego Wave
Gia Corley,11,de GER,AM,22-355,45,16,1,5,7,4,1,16,0,0,0,0,0,14,44,18,1,0,1,2,3,15,1,6a832d3c,11Gia Corley6a832d3c,San Diego Wave
Adriana Leon,9,ca CAN,AM,32-220,45,13,0,0,4,9,3,13,0,0,0,0,0,11,68,42,2,0,2,0,1,12,4,6a832d3c,9Adriana Leon6a832d3c,San Diego Wave
Kenza Dali,10,fr FRA,DM,33-283,90,75,3,27,36,14,1,75,5,5,100,0,0,48,306,152,4,3,1,2,3,59,1,6a832d3c,10Kenza Dali6a832d3c,San Diego Wave
Savannah McCaskill,21,us USA,DM,28-283,90,73,4,33,29,12,0,73,1,1,100,0,0,49,121,33,0,0,0,0,0,56,0,6a832d3c,21Savannah McCaskill6a832d3c,San Diego Wave
Perle Morroni,75,fr FRA,LB,27-207,90,64,3,30,20,15,1,64,3,0,0,3,100,29,240,94,3,2,0,1,0,34,3,6a832d3c,75Perle Morroni6a832d3c,San Diego Wave
Trinity Armstrong,3,us USA,CB,17-289,90,64,19,50,16,0,0,64,0,0,0,0,0,31,116,50,0,0,0,1,0,42,0,6a832d3c,3Trinity Armstrong6a832d3c,San Diego Wave
Kennedy Wesley,12,us USA,CB,24-063,40,32,10,26,6,0,0,32,0,0,0,0,0,21,86,40,0,0,0,0,0,22,0,6a832d3c,12Kennedy Wesley6a832d3c,San Diego Wave
Hanna Lundkvist,6,se SWE,RB,22-297,90,62,3,39,14,9,0,62,3,3,100,0,0,28,99,47,0,0,0,0,0,36,0,6a832d3c,6Hanna Lundkvist6a832d3c,San Diego Wave
Kailen Sheridan,1,ca CAN,GK,29-298,90,77,58,73,4,0,0,77,0,0,0,0,0,44,143,81,0,0,0,0,0,51,0,6a832d3c,1Kailen Sheridan6a832d3c,San Diego Wave
