player,JerseyNumber,nation,pos,age,min,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,errors,game_id,player_id,team_name
Lynn Williams,6,us USA,FW,31-332,79,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,0,0,71e1c7c8,6Lynn Williams71e1c7c8,Seattle Reign FC
Emeri Adames,47,us USA,FW,19-015,11,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,71e1c7c8,47Emeri Adames71e1c7c8,Seattle Reign FC
Jordyn Huitema,9,ca CAN,FW,23-345,85,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,2,0,71e1c7c8,9Jordyn Huitema71e1c7c8,Seattle Reign FC
Ana-Maria Crnogorčević,7,ch SUI,FW,34-197,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,71e1c7c8,7Ana-Maria Crnogorčević71e1c7c8,Seattle Reign FC
Angharad James,8,wls WAL,CM,30-321,90,5,5,2,3,0,2,2,100.0,0,1,0,1,0,5,2,0,71e1c7c8,8Angharad James71e1c7c8,Seattle Reign FC
Samantha Meza,20,us USA,CM,23-162,90,10,8,2,8,0,2,3,66.7,1,1,1,0,1,11,3,0,71e1c7c8,20Samantha Meza71e1c7c8,Seattle Reign FC
Nérilia Mondésir,30,ht HAI,CM,26-091,64,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,71e1c7c8,30Nérilia Mondésir71e1c7c8,Seattle Reign FC
Ji So-yun,91,kr KOR,CM,34-056,26,2,1,0,1,1,1,1,100.0,0,1,0,1,1,3,0,0,71e1c7c8,91Ji So-yun71e1c7c8,Seattle Reign FC
Madeline Dahlien,5,us USA,WB,20-267,90,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0,71e1c7c8,5Madeline Dahlien71e1c7c8,Seattle Reign FC
Madison Curry,24,us USA,WB,24-085,90,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,5,0,71e1c7c8,24Madison Curry71e1c7c8,Seattle Reign FC
Lauren Barnes,3,us USA,CB,35-322,85,2,1,2,0,0,1,1,100.0,0,0,0,0,2,4,4,0,71e1c7c8,3Lauren Barnes71e1c7c8,Seattle Reign FC
Shae Holmes,25,us USA,CB,25-041,5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,71e1c7c8,25Shae Holmes71e1c7c8,Seattle Reign FC
Phoebe McClernon,21,us USA,CB,27-126,90,1,1,1,0,0,1,1,100.0,0,2,1,1,3,4,4,0,71e1c7c8,21Phoebe McClernon71e1c7c8,Seattle Reign FC
Jordyn Bugg,23,us USA,CB,18-250,90,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,12,0,71e1c7c8,23Jordyn Bugg71e1c7c8,Seattle Reign FC
Claudia Dickey,1,us USA,GK,25-102,90,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,71e1c7c8,1Claudia Dickey71e1c7c8,Seattle Reign FC
Reilyn Turner,66,us USA,FW,22-183,90,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,71e1c7c8,66Reilyn Turner71e1c7c8,Portland Thorns FC
Olivia Moultrie,13,us USA,LM,19-213,77,2,0,0,2,0,1,2,50.0,1,0,0,0,1,3,0,0,71e1c7c8,13Olivia Moultrie71e1c7c8,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,LM,29-355,13,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,71e1c7c8,26Marie-Yasmine Alidou71e1c7c8,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-077,64,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,71e1c7c8,8Hina Sugita71e1c7c8,Portland Thorns FC
Deyna Castellanos,10,ve VEN,CM,26-000,26,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,71e1c7c8,10Deyna Castellanos71e1c7c8,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM,27-038,90,5,3,2,3,0,1,2,50.0,1,1,0,1,1,6,2,0,71e1c7c8,21Jessie Fleming71e1c7c8,Portland Thorns FC
Payton Linnehan,15,us USA,RM,24-024,64,2,1,0,2,0,1,4,25.0,3,1,0,1,0,2,0,0,71e1c7c8,15Payton Linnehan71e1c7c8,Portland Thorns FC
Caiya Hanks,7,us USA,RM,20-204,26,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,71e1c7c8,7Caiya Hanks71e1c7c8,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-108,90,1,0,1,0,0,0,1,0.0,1,1,0,1,1,2,4,0,71e1c7c8,17Sam Coffey71e1c7c8,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-061,82,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,0,0,71e1c7c8,2Reyna Reyes71e1c7c8,Portland Thorns FC
Pietra Tordin,19,us USA,LB,21-019,8,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,71e1c7c8,19Pietra Tordin71e1c7c8,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-057,90,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,71e1c7c8,24Jayden Perry71e1c7c8,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-102,90,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,2,0,71e1c7c8,16Samantha Hiatt71e1c7c8,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-032,45,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,3,0,71e1c7c8,20Kaitlyn Torpey71e1c7c8,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-156,45,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,71e1c7c8,29Mallie McKenzie71e1c7c8,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-149,90,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,71e1c7c8,1Bella Bixby71e1c7c8,Portland Thorns FC
