player,JerseyNumber,nation,pos,age,min,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,game_id,player_id,team_name
Lynn Williams,6,us USA,FW,31-332,79,27,26,1,0,0,0,0,1,0,0,0,0,15,0,1,71e1c7c8,6Lynn Williams71e1c7c8,Seattle Reign FC
Emeri Adames,47,us USA,FW,19-015,11,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,71e1c7c8,47Emeri Adames71e1c7c8,Seattle Reign FC
Jordyn Huitema,9,ca CAN,FW,23-345,85,26,26,0,0,0,0,0,0,0,0,0,0,12,0,1,71e1c7c8,9Jordyn Huitema71e1c7c8,Seattle Reign FC
Ana-Maria Crnogorčević,7,ch SUI,FW,34-197,5,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0,71e1c7c8,7Ana-Maria Crnogorčević71e1c7c8,Seattle Reign FC
Angharad James,8,wls WAL,CM,30-321,90,24,24,0,0,1,1,0,0,0,0,0,0,16,0,0,71e1c7c8,8Angharad James71e1c7c8,Seattle Reign FC
Samantha Meza,20,us USA,CM,23-162,90,32,31,1,0,0,0,0,0,0,0,0,0,26,0,0,71e1c7c8,20Samantha Meza71e1c7c8,Seattle Reign FC
Nérilia Mondésir,30,ht HAI,CM,26-091,64,23,23,0,0,0,0,1,0,0,0,0,0,13,0,2,71e1c7c8,30Nérilia Mondésir71e1c7c8,Seattle Reign FC
Ji So-yun,91,kr KOR,CM,34-056,26,12,12,0,0,0,0,0,0,0,0,0,0,6,0,0,71e1c7c8,91Ji So-yun71e1c7c8,Seattle Reign FC
Madeline Dahlien,5,us USA,WB,20-267,90,21,20,1,1,0,1,0,0,0,0,0,0,18,0,0,71e1c7c8,5Madeline Dahlien71e1c7c8,Seattle Reign FC
Madison Curry,24,us USA,WB,24-085,90,40,30,9,0,0,0,3,9,0,0,0,0,22,1,2,71e1c7c8,24Madison Curry71e1c7c8,Seattle Reign FC
Lauren Barnes,3,us USA,CB,35-322,85,49,41,8,2,0,0,3,6,0,0,0,0,38,0,1,71e1c7c8,3Lauren Barnes71e1c7c8,Seattle Reign FC
Shae Holmes,25,us USA,CB,25-041,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71e1c7c8,25Shae Holmes71e1c7c8,Seattle Reign FC
Phoebe McClernon,21,us USA,CB,27-126,90,53,49,4,2,0,0,0,0,0,0,0,0,45,0,0,71e1c7c8,21Phoebe McClernon71e1c7c8,Seattle Reign FC
Jordyn Bugg,23,us USA,CB,18-250,90,36,30,6,6,0,0,1,0,0,0,0,0,21,0,1,71e1c7c8,23Jordyn Bugg71e1c7c8,Seattle Reign FC
Claudia Dickey,1,us USA,GK,25-102,90,52,41,10,3,0,0,0,0,0,0,0,0,37,1,0,71e1c7c8,1Claudia Dickey71e1c7c8,Seattle Reign FC
Reilyn Turner,66,us USA,FW,22-183,90,20,19,1,0,0,0,0,0,0,0,0,0,13,0,1,71e1c7c8,66Reilyn Turner71e1c7c8,Portland Thorns FC
Olivia Moultrie,13,us USA,LM,19-213,77,37,31,6,2,0,0,5,1,3,2,0,0,29,0,1,71e1c7c8,13Olivia Moultrie71e1c7c8,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,LM,29-355,13,11,9,2,0,0,0,0,2,0,0,0,0,7,0,0,71e1c7c8,26Marie-Yasmine Alidou71e1c7c8,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-077,64,38,38,0,0,0,0,0,0,0,0,0,0,31,0,0,71e1c7c8,8Hina Sugita71e1c7c8,Portland Thorns FC
Deyna Castellanos,10,ve VEN,CM,26-000,26,10,9,0,0,0,0,0,0,0,0,0,0,6,1,0,71e1c7c8,10Deyna Castellanos71e1c7c8,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM,27-038,90,44,43,1,1,0,0,0,0,0,0,0,0,27,0,1,71e1c7c8,21Jessie Fleming71e1c7c8,Portland Thorns FC
Payton Linnehan,15,us USA,RM,24-024,64,18,18,0,0,0,0,4,0,0,0,0,0,13,0,1,71e1c7c8,15Payton Linnehan71e1c7c8,Portland Thorns FC
Caiya Hanks,7,us USA,RM,20-204,26,8,6,2,0,0,0,1,2,0,0,0,0,2,0,1,71e1c7c8,7Caiya Hanks71e1c7c8,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-108,90,61,53,8,1,0,0,5,2,4,1,3,0,41,0,0,71e1c7c8,17Sam Coffey71e1c7c8,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-061,82,38,28,10,1,0,0,1,9,0,0,0,0,24,0,1,71e1c7c8,2Reyna Reyes71e1c7c8,Portland Thorns FC
Pietra Tordin,19,us USA,LB,21-019,8,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,71e1c7c8,19Pietra Tordin71e1c7c8,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-057,90,62,59,3,2,0,0,0,1,0,0,0,0,48,0,0,71e1c7c8,24Jayden Perry71e1c7c8,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-102,90,62,62,0,0,0,0,1,0,0,0,0,0,47,0,0,71e1c7c8,16Samantha Hiatt71e1c7c8,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-032,45,27,18,9,0,0,0,0,9,0,0,0,0,25,0,0,71e1c7c8,20Kaitlyn Torpey71e1c7c8,Portland Thorns FC
