player,JerseyNumber,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Lynn Williams,6,us USA,FW,31-332,79,15,27,55.6,255,68,8,12,66.7,5,11,45.5,2,3,66.7,1,0.1,0.0,1,3,0,0,2,71e1c7c8,6Lynn Williams71e1c7c8,Seattle Reign FC
Emeri Adames,47,us USA,FW,19-015,11,1,3,33.3,13,0,1,1,100.0,0,1,0.0,0,0,0.0,0,0.1,0.0,1,0,0,0,0,71e1c7c8,47Emeri Adames71e1c7c8,Seattle Reign FC
Jordyn Huitema,9,ca CAN,FW,23-345,85,12,26,46.2,233,93,5,8,62.5,6,14,42.9,1,2,50.0,0,0.1,0.0,1,3,2,0,6,71e1c7c8,9Jordyn Huitema71e1c7c8,Seattle Reign FC
Ana-Maria Crnogorčević,7,ch SUI,FW,34-197,5,5,8,62.5,64,19,4,4,100.0,1,4,25.0,0,0,0.0,0,0.0,0.0,0,2,0,0,1,71e1c7c8,7Ana-Maria Crnogorčević71e1c7c8,Seattle Reign FC
Angharad James,8,wls WAL,CM,30-321,90,16,24,66.7,329,138,8,12,66.7,5,7,71.4,3,3,100.0,0,0.5,0.2,1,4,0,0,2,71e1c7c8,8Angharad James71e1c7c8,Seattle Reign FC
Samantha Meza,20,us USA,CM,23-162,90,26,32,81.3,437,105,14,15,93.3,11,14,78.6,1,3,33.3,0,0.0,0.0,0,1,0,0,2,71e1c7c8,20Samantha Meza71e1c7c8,Seattle Reign FC
Nérilia Mondésir,30,ht HAI,CM,26-091,64,13,23,56.5,211,52,8,10,80.0,5,9,55.6,0,0,0.0,0,0.0,0.0,0,1,0,0,2,71e1c7c8,30Nérilia Mondésir71e1c7c8,Seattle Reign FC
Ji So-yun,91,kr KOR,CM,34-056,26,6,12,50.0,93,54,3,6,50.0,3,4,75.0,0,0,0.0,0,0.2,0.1,2,1,2,0,3,71e1c7c8,91Ji So-yun71e1c7c8,Seattle Reign FC
Madeline Dahlien,5,us USA,WB,20-267,90,18,21,85.7,315,15,8,11,72.7,9,9,100.0,1,1,100.0,0,0.1,0.0,1,0,0,0,1,71e1c7c8,5Madeline Dahlien71e1c7c8,Seattle Reign FC
Madison Curry,24,us USA,WB,24-085,90,22,40,55.0,377,189,9,9,100.0,13,20,65.0,0,7,0.0,0,0.0,0.0,0,1,0,0,3,71e1c7c8,24Madison Curry71e1c7c8,Seattle Reign FC
Lauren Barnes,3,us USA,CB,35-322,85,38,49,77.6,672,398,17,19,89.5,18,20,90.0,3,8,37.5,0,0.0,0.0,1,2,1,1,4,71e1c7c8,3Lauren Barnes71e1c7c8,Seattle Reign FC
Shae Holmes,25,us USA,CB,25-041,5,0,1,0.0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,71e1c7c8,25Shae Holmes71e1c7c8,Seattle Reign FC
Phoebe McClernon,21,us USA,CB,27-126,90,45,53,84.9,958,358,8,10,80.0,32,35,91.4,5,8,62.5,0,0.0,0.0,1,0,0,0,0,71e1c7c8,21Phoebe McClernon71e1c7c8,Seattle Reign FC
Jordyn Bugg,23,us USA,CB,18-250,90,21,36,58.3,488,153,6,7,85.7,11,18,61.1,4,10,40.0,0,0.0,0.0,0,0,0,0,0,71e1c7c8,23Jordyn Bugg71e1c7c8,Seattle Reign FC
