player,JerseyNumber,nation,pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Lynn Williams,6,us USA,FW,31-332,79,34,0,4,19,11,2,34,0,0,0.0,0,0.0,14,86,16,1,0,1,1,0,18,5,71e1c7c8,6Lynn Williams71e1c7c8,Seattle Reign FC
Emeri Adames,47,us USA,FW,19-015,11,5,0,1,1,3,0,5,0,0,0.0,0,0.0,2,13,3,0,0,0,0,1,2,0,71e1c7c8,47Emeri Adames71e1c7c8,Seattle Reign FC
Jordyn Huitema,9,ca CAN,FW,23-345,85,32,2,3,19,10,0,32,2,1,50.0,1,50.0,15,70,27,1,2,0,1,1,24,3,71e1c7c8,9Jordyn Huitema71e1c7c8,Seattle Reign FC
Ana-Maria Crnogorčević,7,ch SUI,FW,34-197,5,10,2,2,7,1,1,10,0,0,0.0,0,0.0,3,3,2,0,0,0,0,0,4,0,71e1c7c8,7Ana-Maria Crnogorčević71e1c7c8,Seattle Reign FC
Angharad James,8,wls WAL,CM,30-321,90,35,2,16,19,2,0,35,1,1,100.0,0,0.0,15,45,18,0,0,0,0,1,11,1,71e1c7c8,8Angharad James71e1c7c8,Seattle Reign FC
Samantha Meza,20,us USA,CM,23-162,90,51,5,19,28,4,0,51,2,1,50.0,1,50.0,24,76,35,1,0,0,3,4,16,0,71e1c7c8,20Samantha Meza71e1c7c8,Seattle Reign FC
Nérilia Mondésir,30,ht HAI,CM,26-091,64,27,0,2,15,10,2,27,2,2,100.0,0,0.0,14,43,24,2,0,1,2,1,20,2,71e1c7c8,30Nérilia Mondésir71e1c7c8,Seattle Reign FC
Ji So-yun,91,kr KOR,CM,34-056,26,16,0,2,9,7,1,16,1,1,100.0,0,0.0,9,19,2,0,0,0,1,1,8,1,71e1c7c8,91Ji So-yun71e1c7c8,Seattle Reign FC
Madeline Dahlien,5,us USA,WB,20-267,90,36,0,6,11,19,12,36,3,2,66.7,1,33.3,22,141,68,3,0,4,5,1,25,11,71e1c7c8,5Madeline Dahlien71e1c7c8,Seattle Reign FC
Madison Curry,24,us USA,WB,24-085,90,53,3,21,24,8,0,53,1,1,100.0,0,0.0,17,44,19,0,0,0,2,1,19,1,71e1c7c8,24Madison Curry71e1c7c8,Seattle Reign FC
Lauren Barnes,3,us USA,CB,35-322,85,59,4,36,20,4,0,59,0,0,0.0,0,0.0,26,60,34,0,0,0,2,0,33,0,71e1c7c8,3Lauren Barnes71e1c7c8,Seattle Reign FC
