player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,game_id,player_id,team_name
Lynn Williams,6,us USA,FW,31-332,79,0,1,0,0,2,0,0,0,34,0,0,2,0.6,0.6,0.1,1,1,15,0,55.6,2,14,1,0,71e1c7c8,6LynnWilliams71e1c7c8,Seattle Reign FC
Emeri Adames,47,us USA,FW,19-015,11,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0.1,0,0,1,0,33.3,0,2,0,0,71e1c7c8,47EmeriAdames71e1c7c8,Seattle Reign FC
Jordyn Huitema,9,ca CAN,FW,23-345,85,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0.1,1,0,12,2,46.2,6,15,1,1,71e1c7c8,9JordynHuitema71e1c7c8,Seattle Reign FC
Ana-Maria Crnogorčević,7,ch SUI,FW,34-197,5,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0,1,0,5,0,62.5,1,3,0,0,71e1c7c8,7Ana-MariaCrnogorčević71e1c7c8,Seattle Reign FC
Angharad James,8,wls WAL,CM,30-321,90,0,0,0,0,0,0,0,0,35,5,0,1,0,0,0.5,1,0,16,1,66.7,2,15,0,1,71e1c7c8,8AngharadJames71e1c7c8,Seattle Reign FC
Samantha Meza,20,us USA,CM,23-162,90,0,0,0,0,0,0,0,0,51,10,1,1,0,0,0,1,0,26,2,81.3,2,24,1,1,71e1c7c8,20SamanthaMeza71e1c7c8,Seattle Reign FC
Nérilia Mondésir,30,ht HAI,CM,26-091,64,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,1,1,13,2,56.5,2,14,2,2,71e1c7c8,30NériliaMondésir71e1c7c8,Seattle Reign FC
Ji So-yun,91,kr KOR,CM,34-056,26,0,0,0,0,0,0,0,0,16,2,1,1,0,0,0.2,5,0,6,1,50,3,9,0,1,71e1c7c8,91JiSo-yun71e1c7c8,Seattle Reign FC
Madeline Dahlien,5,us USA,WB,20-267,90,1,0,0,0,5,4,0,0,36,0,0,1,0.4,0.4,0.1,1,0,18,3,85.7,1,22,3,2,71e1c7c8,5MadelineDahlien71e1c7c8,Seattle Reign FC
Madison Curry,24,us USA,WB,24-085,90,0,0,0,0,0,0,0,0,53,0,1,0,0,0,0,2,0,22,1,55,3,17,0,1,71e1c7c8,24MadisonCurry71e1c7c8,Seattle Reign FC
Lauren Barnes,3,us USA,CB,35-322,85,0,0,0,0,0,0,0,0,59,2,2,0,0,0,0,1,0,38,0,77.6,4,26,0,0,71e1c7c8,3LaurenBarnes71e1c7c8,Seattle Reign FC
Shae Holmes,25,us USA,CB,25-041,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71e1c7c8,25ShaeHolmes71e1c7c8,Seattle Reign FC
Phoebe McClernon,21,us USA,CB,27-126,90,0,0,0,0,0,0,0,0,64,1,3,2,0,0,0,1,0,45,0,84.9,0,34,0,0,71e1c7c8,21PhoebeMcClernon71e1c7c8,Seattle Reign FC
Jordyn Bugg,23,us USA,CB,18-250,90,0,0,0,0,0,0,0,0,51,1,1,0,0,0,0,1,0,21,1,58.3,0,21,0,0,71e1c7c8,23JordynBugg71e1c7c8,Seattle Reign FC
Claudia Dickey,1,us USA,GK,25-102,90,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,37,0,71.2,0,39,0,0,71e1c7c8,1ClaudiaDickey71e1c7c8,Seattle Reign FC
Reilyn Turner,66,us USA,FW,22-183,90,0,0,0,0,2,0,0,0,30,0,0,0,0.2,0.2,0.1,4,0,13,0,65,2,15,0,0,71e1c7c8,66ReilynTurner71e1c7c8,Portland Thorns FC
Olivia Moultrie,13,us USA,LM,19-213,77,0,0,0,0,1,0,0,0,42,2,1,0,0.1,0.1,0,1,0,29,1,78.4,5,25,1,0,71e1c7c8,13OliviaMoultrie71e1c7c8,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,LM,29-355,13,0,0,0,0,1,0,0,0,16,2,0,0,0,0,0,1,0,7,0,63.6,1,6,0,0,71e1c7c8,26Marie-YasmineAlidou71e1c7c8,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-077,64,0,0,0,0,0,0,0,0,45,1,1,0,0,0,0,1,0,31,1,81.6,3,23,2,0,71e1c7c8,8HinaSugita71e1c7c8,Portland Thorns FC
Deyna Castellanos,10,ve VEN,CM,26-000,26,0,0,0,0,1,1,0,0,12,0,0,0,0.1,0.1,0,3,0,6,0,60,2,6,0,0,71e1c7c8,10DeynaCastellanos71e1c7c8,Portland Thorns FC
