player,JerseyNumber,nation,pos,age,min,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,errors,game_id,player_id,team_name
Debinha,99,br BRA,FW AM,33-146,84,5,2,2,2,1,3,4,75,1,1,0,1,1,6,1,0,7239a666,99Debinha7239a666,Kansas City Current
Haley Hopkins,13,us USA,AM,26-084,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,7239a666,13Haley Hopkins7239a666,Kansas City Current
Temwa Chaŵinga,6,mw MWI,LW,26-176,90,1,0,0,0,1,0,1,0,1,0,0,0,2,3,1,0,7239a666,6Temwa Chaŵinga7239a666,Kansas City Current
Michelle Cooper,17,us USA,RW,22-101,66,5,4,1,3,1,2,4,50,2,1,0,1,0,5,0,0,7239a666,17Michelle Cooper7239a666,Kansas City Current
Nichelle Prince,8,ca CAN,RW,30-024,24,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,7239a666,8Nichelle Prince7239a666,Kansas City Current
Vanessa DiBernardo,16,us USA,AM FW,32-304,89,3,2,0,3,0,1,2,50,1,0,0,0,1,4,0,0,7239a666,16Vanessa DiBernardo7239a666,Kansas City Current
Bayley Feist,22,us USA,FW,28-001,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7239a666,22Bayley Feist7239a666,Kansas City Current
Claire Hutton,14,us USA,DM,19-063,66,2,1,0,2,0,1,1,100,0,2,0,2,1,3,1,0,7239a666,14Claire Hutton7239a666,Kansas City Current
Raquel Rodríguez,11,cr CRC,DM,31-138,24,2,1,0,2,0,1,1,100,0,2,2,0,0,2,1,0,7239a666,11Raquel Rodríguez7239a666,Kansas City Current
Lo'eau LaBonta,10,us USA,DM,31-362,90,3,3,1,1,1,1,2,50,1,0,0,0,2,5,3,0,7239a666,10Lo'eau LaBonta7239a666,Kansas City Current
Ellie Wheeler,5,us USA,RB LB,23-091,90,1,1,1,0,0,1,1,100,0,0,0,0,0,1,1,0,7239a666,5Ellie Wheeler7239a666,Kansas City Current
Kayla Sharples,27,us USA,CB,27-271,90,0,0,0,0,0,0,0,0,0,1,1,0,1,1,6,0,7239a666,27Kayla Sharples7239a666,Kansas City Current
Alana Cook,15,us USA,CB,27-338,90,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,7239a666,15Alana Cook7239a666,Kansas City Current
Elizabeth Ball,7,us USA,RB,29-146,45,2,1,1,1,0,0,0,0,0,0,0,0,0,2,4,0,7239a666,7Elizabeth Ball7239a666,Kansas City Current
Isabel Rodriguez,18,us USA,LB RB,25-336,45,0,0,0,0,0,0,0,0,0,3,2,1,1,1,2,0,7239a666,18Isabel Rodriguez7239a666,Kansas City Current
Lorena,23,br BRA,GK,27-313,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7239a666,23Lorena7239a666,Kansas City Current
Alexa Spaanstra,77,us USA,FW,25-042,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7239a666,77Alexa Spaanstra7239a666,Portland Thorns FC
Payton Linnehan,15,us USA,FW,23-355,27,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,7239a666,15Payton Linnehan7239a666,Portland Thorns FC
Deyna Castellanos,10,ve VEN,FW,25-331,86,2,2,0,1,1,0,0,0,0,0,0,0,1,3,1,0,7239a666,10Deyna Castellanos7239a666,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-350,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7239a666,19Pietra Tordin7239a666,Portland Thorns FC
Olivia Moultrie,13,us USA,LM,19-179,90,1,1,1,0,0,0,1,0,1,2,0,2,0,1,1,0,7239a666,13Olivia Moultrie7239a666,Portland Thorns FC
Sam Coffey,17,us USA,CM,26-074,90,1,1,1,0,0,1,2,50,1,3,2,1,2,3,1,0,7239a666,17Sam Coffey7239a666,Portland Thorns FC
