player,JerseyNumber,nation,pos,age,min,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,game_id,player_id,team_name
Debinha,99,br BRA,FW AM,33-146,84,34,30,4,0,1,0,2,0,2,1,1,0,26,0,0,7239a666,99Debinha7239a666,Kansas City Current
Haley Hopkins,13,us USA,AM,26-084,6,8,8,0,0,0,0,1,0,0,0,0,0,6,0,1,7239a666,13Haley Hopkins7239a666,Kansas City Current
Temwa Chaŵinga,6,mw MWI,LW,26-176,90,29,29,0,0,0,0,0,0,0,0,0,0,25,0,0,7239a666,6Temwa Chaŵinga7239a666,Kansas City Current
Michelle Cooper,17,us USA,RW,22-101,66,30,28,2,0,0,0,1,2,0,0,0,0,17,0,1,7239a666,17Michelle Cooper7239a666,Kansas City Current
Nichelle Prince,8,ca CAN,RW,30-024,24,9,9,0,0,0,0,3,0,0,0,0,0,6,0,0,7239a666,8Nichelle Prince7239a666,Kansas City Current
Vanessa DiBernardo,16,us USA,AM FW,32-304,89,35,28,5,2,0,0,4,0,3,2,1,0,18,2,1,7239a666,16Vanessa DiBernardo7239a666,Kansas City Current
Bayley Feist,22,us USA,FW,28-001,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,7239a666,22Bayley Feist7239a666,Kansas City Current
Claire Hutton,14,us USA,DM,19-063,66,27,26,1,1,0,0,1,0,0,0,0,0,19,0,1,7239a666,14Claire Hutton7239a666,Kansas City Current
Raquel Rodríguez,11,cr CRC,DM,31-138,24,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,7239a666,11Raquel Rodríguez7239a666,Kansas City Current
Lo'eau LaBonta,10,us USA,DM,31-362,90,38,34,4,2,0,0,0,2,0,0,0,0,28,0,1,7239a666,10Lo'eau LaBonta7239a666,Kansas City Current
Ellie Wheeler,5,us USA,RB LB,23-091,90,25,18,7,0,0,0,0,7,0,0,0,0,17,0,0,7239a666,5Ellie Wheeler7239a666,Kansas City Current
Kayla Sharples,27,us USA,CB,27-271,90,37,37,0,0,0,0,0,0,0,0,0,0,30,0,0,7239a666,27Kayla Sharples7239a666,Kansas City Current
Alana Cook,15,us USA,CB,27-338,90,55,54,1,1,0,0,0,0,0,0,0,0,47,0,0,7239a666,15Alana Cook7239a666,Kansas City Current
Elizabeth Ball,7,us USA,RB,29-146,45,35,30,5,1,0,0,0,4,0,0,0,0,28,0,1,7239a666,7Elizabeth Ball7239a666,Kansas City Current
Isabel Rodriguez,18,us USA,LB RB,25-336,45,31,24,6,0,0,0,2,6,0,0,0,0,19,1,1,7239a666,18Isabel Rodriguez7239a666,Kansas City Current
Lorena,23,br BRA,GK,27-313,90,20,13,7,2,0,0,0,0,0,0,0,0,15,0,0,7239a666,23Lorena7239a666,Kansas City Current
Alexa Spaanstra,77,us USA,FW,25-042,63,17,17,0,0,0,0,1,0,0,0,0,0,11,0,1,7239a666,77Alexa Spaanstra7239a666,Portland Thorns FC
Payton Linnehan,15,us USA,FW,23-355,27,8,7,1,0,0,0,0,1,0,0,0,0,5,0,0,7239a666,15Payton Linnehan7239a666,Portland Thorns FC
Deyna Castellanos,10,ve VEN,FW,25-331,86,18,16,2,2,0,0,2,0,0,0,0,0,10,0,1,7239a666,10Deyna Castellanos7239a666,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-350,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,7239a666,19Pietra Tordin7239a666,Portland Thorns FC
Olivia Moultrie,13,us USA,LM,19-179,90,28,23,5,1,0,0,0,0,0,0,0,0,22,0,0,7239a666,13Olivia Moultrie7239a666,Portland Thorns FC
Sam Coffey,17,us USA,CM,26-074,90,44,40,4,0,0,0,3,0,4,2,1,0,26,0,2,7239a666,17Sam Coffey7239a666,Portland Thorns FC
