player,JerseyNumber,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Debinha,99,br BRA,FW AM,33-146,84,26,34,76.5,397,181,14,17,82.4,7,10,70.0,3,4,75.0,1,1.0,0.5,7,5,3,0,6,7239a666,99Debinha7239a666,Kansas City Current
Haley Hopkins,13,us USA,AM,26-084,6,6,8,75.0,61,8,6,8,75.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,1,0,0,0,7239a666,13Haley Hopkins7239a666,Kansas City Current
Temwa Chaŵinga,6,mw MWI,LW,26-176,90,25,29,86.2,318,97,15,17,88.2,9,11,81.8,0,0,0.0,0,0.4,0.3,4,3,2,0,6,7239a666,6Temwa Chaŵinga7239a666,Kansas City Current
Michelle Cooper,17,us USA,RW,22-101,66,17,30,56.7,206,50,11,16,68.8,5,11,45.5,0,0,0.0,0,0.0,0.0,1,1,1,0,3,7239a666,17Michelle Cooper7239a666,Kansas City Current
Nichelle Prince,8,ca CAN,RW,30-024,24,6,9,66.7,123,7,4,5,80.0,1,3,33.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,7239a666,8Nichelle Prince7239a666,Kansas City Current
Vanessa DiBernardo,16,us USA,AM FW,32-304,89,18,35,51.4,302,159,8,11,72.7,6,12,50.0,2,6,33.3,0,0.0,0.1,0,2,1,0,5,7239a666,16Vanessa DiBernardo7239a666,Kansas City Current
Bayley Feist,22,us USA,FW,28-001,1,1,3,33.3,5,0,1,3,33.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,7239a666,22Bayley Feist7239a666,Kansas City Current
Claire Hutton,14,us USA,DM,19-063,66,19,27,70.4,230,95,13,15,86.7,5,9,55.6,0,1,0.0,0,0.0,0.0,0,1,0,0,4,7239a666,14Claire Hutton7239a666,Kansas City Current
Raquel Rodríguez,11,cr CRC,DM,31-138,24,10,12,83.3,127,17,4,5,80.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0,0,1,0,1,7239a666,11Raquel Rodríguez7239a666,Kansas City Current
Lo'eau LaBonta,10,us USA,DM,31-362,90,28,38,73.7,426,193,12,14,85.7,15,19,78.9,0,1,0.0,0,0.0,0.0,1,8,0,0,11,7239a666,10Lo'eau LaBonta7239a666,Kansas City Current
Ellie Wheeler,5,us USA,RB LB,23-091,90,17,25,68.0,278,138,8,11,72.7,5,8,62.5,2,3,66.7,0,0.0,0.0,0,3,0,0,2,7239a666,5Ellie Wheeler7239a666,Kansas City Current
Kayla Sharples,27,us USA,CB,27-271,90,30,37,81.1,610,301,9,12,75.0,16,17,94.1,5,7,71.4,0,0.0,0.0,0,2,0,0,1,7239a666,27Kayla Sharples7239a666,Kansas City Current
Alana Cook,15,us USA,CB,27-338,90,47,55,85.5,969,247,11,12,91.7,33,35,94.3,3,7,42.9,0,0.0,0.0,0,2,1,0,2,7239a666,15Alana Cook7239a666,Kansas City Current
Elizabeth Ball,7,us USA,RB,29-146,45,28,35,80.0,544,229,8,9,88.9,18,20,90.0,2,5,40.0,0,0.0,0.0,0,1,0,0,1,7239a666,7Elizabeth Ball7239a666,Kansas City Current
Isabel Rodriguez,18,us USA,LB RB,25-336,45,19,31,61.3,256,143,11,12,91.7,8,13,61.5,0,4,0.0,0,0.0,0.0,0,2,0,0,1,7239a666,18Isabel Rodriguez7239a666,Kansas City Current
Lorena,23,br BRA,GK,27-313,90,15,20,75.0,402,301,4,4,100.0,4,4,100.0,7,12,58.3,0,0.0,0.0,0,0,0,0,0,7239a666,23Lorena7239a666,Kansas City Current
