Player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,game_id,player_id,team_name
Debinha,99,br BRA,FW AM,33-146,84,1,1,0,0,2,1,0,0,50,5,1,1,0.4,0.4,1.0,10,3,26,2,76.5,6,31,2,1,7239a666,99Debinha7239a666,
Haley Hopkins,13,us USA,AM,26-084,6,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,6,1,75.0,0,8,0,1,7239a666,13HaleyHopkins7239a666,
Temwa Chaŵinga,6,mw MWI,LW,26-176,90,1,0,0,0,2,2,0,0,43,1,2,0,0.6,0.6,0.4,5,0,25,2,86.2,6,30,2,1,7239a666,6TemwaChaŵinga7239a666,
Michelle Cooper,17,us USA,RW,22-101,66,1,0,0,0,3,2,0,0,44,5,0,1,0.3,0.3,0.0,4,1,17,1,56.7,3,22,0,1,7239a666,17MichelleCooper7239a666,
Nichelle Prince,8,ca CAN,RW,30-024,24,0,0,0,0,2,0,0,0,19,0,0,2,0.2,0.2,0.0,0,0,6,1,66.7,0,12,0,0,7239a666,8NichellePrince7239a666,
Vanessa DiBernardo,16,us USA,AM FW,32-304,89,0,0,0,0,1,0,0,0,43,3,1,0,0.1,0.1,0.0,5,1,18,1,51.4,5,26,3,0,7239a666,16VanessaDiBernardo7239a666,
Bayley Feist,22,us USA,FW,28-001,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,33.3,0,2,0,1,7239a666,22BayleyFeist7239a666,
Claire Hutton,14,us USA,DM,19-063,66,0,0,0,0,0,0,1,0,37,2,1,2,0.0,0.0,0.0,2,1,19,0,70.4,4,16,0,0,7239a666,14ClaireHutton7239a666,
Raquel Rodríguez,11,cr CRC,DM,31-138,24,0,0,0,0,0,0,0,0,23,2,0,2,0.0,0.0,0.0,1,0,10,1,83.3,1,9,0,0,7239a666,11RaquelRodríguez7239a666,
Lo'eau LaBonta,10,us USA,DM,31-362,90,0,0,0,0,1,0,0,0,51,3,2,0,0.1,0.1,0.0,0,0,28,1,73.7,11,22,1,0,7239a666,10Lo'eauLaBonta7239a666,
Ellie Wheeler,5,us USA,RB LB,23-091,90,0,0,0,0,2,1,0,0,34,1,0,0,0.1,0.1,0.0,1,0,17,1,68.0,2,14,1,0,7239a666,5EllieWheeler7239a666,
Kayla Sharples,27,us USA,CB,27-271,90,0,0,0,0,0,0,0,0,46,0,1,1,0.0,0.0,0.0,0,0,30,0,81.1,1,30,0,0,7239a666,27KaylaSharples7239a666,
Alana Cook,15,us USA,CB,27-338,90,0,0,0,0,1,0,0,0,61,0,2,0,0.0,0.0,0.0,1,0,47,0,85.5,2,45,0,0,7239a666,15AlanaCook7239a666,
Elizabeth Ball,7,us USA,RB,29-146,45,0,0,0,0,1,0,0,0,44,2,0,0,0.0,0.0,0.0,0,0,28,1,80.0,1,19,0,0,7239a666,7ElizabethBall7239a666,
Isabel Rodriguez,18,us USA,LB RB,25-336,45,0,0,0,0,0,0,0,0,38,0,1,3,0.0,0.0,0.0,0,0,19,0,61.3,1,14,0,0,7239a666,18IsabelRodriguez7239a666,
Lorena,23,br BRA,GK,27-313,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,15,0,75.0,0,13,0,0,7239a666,23Lorena7239a666,
Alexa Spaanstra,77,us USA,FW,25-042,63,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,11,2,64.7,2,20,1,1,7239a666,77AlexaSpaanstra7239a666,
Payton Linnehan,15,us USA,FW,23-355,27,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,5,0,62.5,1,6,0,0,7239a666,15PaytonLinnehan7239a666,
Deyna Castellanos,10,ve VEN,FW,25-331,86,0,0,0,0,3,1,0,0,25,2,1,0,0.1,0.1,0.0,3,0,10,2,55.6,4,17,0,0,7239a666,10DeynaCastellanos7239a666,
Pietra Tordin,19,us USA,FW,20-350,4,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,1,0,1,1,50.0,0,2,0,1,7239a666,19PietraTordin7239a666,
Olivia Moultrie,13,us USA,LM,19-179,90,1,0,0,1,2,1,0,0,47,1,0,2,0.8,0.1,0.1,1,0,22,0,78.6,5,23,1,0,7239a666,13OliviaMoultrie7239a666,
Sam Coffey,17,us USA,CM,26-074,90,0,0,0,0,0,0,0,0,53,1,2,3,0.0,0.0,0.0,0,0,26,1,59.1,2,27,0,1,7239a666,17SamCoffey7239a666,
Hina Sugita,8,jp JPN,CM,28-043,72,0,1,0,0,0,0,1,0,44,3,2,2,0.0,0.0,0.1,2,1,23,0,74.2,2,27,1,0,7239a666,8HinaSugita7239a666,
Caiya Hanks,7,us USA,CM,20-170,18,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,7,0,1,7239a666,7CaiyaHanks7239a666,
Jessie Fleming,21,ca CAN,RM,27-004,63,0,0,0,0,2,1,0,0,36,1,0,0,0.1,0.1,0.0,1,0,23,3,79.3,4,26,0,2,7239a666,21JessieFleming7239a666,
Reilyn Turner,66,us USA,RM,22-149,27,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,1,0,0,0,0.0,0,5,0,0,7239a666,66ReilynTurner7239a666,
Reyna Reyes,2,mx MEX,LB,24-027,72,0,0,0,0,0,0,1,0,62,1,3,3,0.0,0.0,0.0,1,0,41,2,82.0,2,38,1,1,7239a666,2ReynaReyes7239a666,
Mallie McKenzie,29,us USA,LB,24-122,18,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,0,66.7,0,3,0,0,7239a666,29MallieMcKenzie7239a666,
Jayden Perry,24,us USA,CB,24-023,90,0,0,0,0,0,0,0,0,100,4,2,1,0.0,0.0,0.0,2,0,64,2,81.0,2,67,0,0,7239a666,24JaydenPerry7239a666,
