player,JerseyNumber,nation,pos,age,min,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-155,79,16,15,1,0,0,0,0,0,0,0,0,0,10,0,0,7958f078,66Reilyn Turner7958f078,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-356,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7958f078,19Pietra Tordin7958f078,Portland Thorns FC
Payton Linnehan,15,us USA,LW,23-361,45,12,12,0,0,0,0,0,0,0,0,0,0,4,0,2,7958f078,15Payton Linnehan7958f078,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-176,45,16,16,0,0,0,0,1,0,0,0,0,0,7,0,2,7958f078,7Caiya Hanks7958f078,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-185,90,31,26,5,0,1,0,7,0,4,4,0,0,22,0,0,7958f078,13Olivia Moultrie7958f078,Portland Thorns FC
Deyna Castellanos,10,ve VEN,LM,25-337,72,20,18,0,0,0,0,2,0,0,0,0,0,11,2,0,7958f078,10Deyna Castellanos7958f078,Portland Thorns FC
Alexa Spaanstra,77,us USA,LM,25-048,18,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,7958f078,77Alexa Spaanstra7958f078,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-049,90,54,54,0,0,0,0,2,0,0,0,0,0,43,0,0,7958f078,8Hina Sugita7958f078,Portland Thorns FC
Sam Coffey,17,us USA,RM,26-080,90,50,46,3,2,0,0,1,0,1,0,0,0,41,1,0,7958f078,17Sam Coffey7958f078,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-033,90,44,29,15,3,0,0,1,12,0,0,0,0,35,0,0,7958f078,2Reyna Reyes7958f078,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-142,90,33,31,2,2,0,0,0,0,0,0,0,0,28,0,0,7958f078,5Isabella Obaze7958f078,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-074,90,48,44,4,4,0,0,0,0,0,0,0,0,36,0,0,7958f078,16Samantha Hiatt7958f078,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-004,79,42,33,9,0,0,0,1,9,0,0,0,0,33,0,2,7958f078,20Kaitlyn Torpey7958f078,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-128,11,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,7958f078,29Mallie McKenzie7958f078,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-024,90,32,19,13,5,0,0,0,0,0,0,0,0,22,0,0,7958f078,18Mackenzie Arnold7958f078,Portland Thorns FC
Riley Tiernan,33,us USA,FW,22-127,75,22,21,0,0,0,0,2,0,0,0,0,0,8,1,2,7958f078,33Riley Tiernan7958f078,Angel City FC
Christen Press,23,us USA,FW,36-082,15,9,8,0,0,0,0,0,0,0,0,0,0,4,1,0,7958f078,23Christen Press7958f078,Angel City FC
Alyssa Thompson,21,us USA,LW,20-134,90,20,17,3,0,0,0,1,1,0,0,0,0,14,0,1,7958f078,21Alyssa Thompson7958f078,Angel City FC
Claire Emslie,10,sct SCO,RW,31-013,62,31,26,5,2,0,0,12,0,3,3,0,0,17,0,1,7958f078,10Claire Emslie7958f078,Angel City FC
Julie Dufour,7,fr FRA,RW,23-296,28,8,7,1,0,0,0,1,0,1,0,1,0,5,0,1,7958f078,7Julie Dufour7958f078,Angel City FC
Macey Hodge,8,us USA,LM,23-321,62,24,24,0,0,0,0,0,0,0,0,0,0,18,0,1,7958f078,8Macey Hodge7958f078,Angel City FC
Madison Hammond,99,us USA,LM,27-126,28,11,11,0,0,0,0,0,0,0,0,0,0,7,0,0,7958f078,99Madison Hammond7958f078,Angel City FC
Kennedy Fuller,17,us USA,CM,18-012,90,26,24,2,1,0,0,2,0,0,0,0,0,18,0,1,7958f078,17Kennedy Fuller7958f078,Angel City FC
Alanna Kennedy,14,au AUS,RM,30-059,90,52,50,1,1,1,1,0,0,0,0,0,0,36,1,2,7958f078,14Alanna Kennedy7958f078,Angel City FC
Mary Vignola,16,us USA,LB,27-038,90,53,43,10,0,0,0,1,10,0,0,0,0,44,0,1,7958f078,16Mary Vignola7958f078,Angel City FC
Savannah King,3,us USA,CB,20-042,90,48,47,1,1,0,0,0,0,0,0,0,0,41,0,0,7958f078,3Savannah King7958f078,Angel City FC
Sarah Gorden,11,us USA,CB,32-189,90,63,61,2,2,0,0,0,0,0,0,0,0,52,0,1,7958f078,11Sarah Gorden7958f078,Angel City FC
Gisele Thompson,20,us USA,RB,19-109,90,50,40,10,0,0,0,0,10,0,0,0,0,43,0,0,7958f078,20Gisele Thompson7958f078,Angel City FC
Angelina Anderson,19,us USA,GK,23-364,90,47,33,13,3,0,0,0,0,0,0,0,0,29,1,0,7958f078,19Angelina Anderson7958f078,Angel City FC
