player,JerseyNumber,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-155,79,10,16,62.5,154,27,5,7,71.4,5,7,71.4,0,1,0.0,0,0.1,0.0,1,1,0,0,1,7958f078,66Reilyn Turner7958f078,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-356,11,0,1,0.0,0,0,0,1,0.0,0,0,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,7958f078,19Pietra Tordin7958f078,Portland Thorns FC
Payton Linnehan,15,us USA,LW,23-361,45,4,12,33.3,79,0,2,4,50.0,1,2,50.0,1,3,33.3,0,0.0,0.0,0,0,0,0,0,7958f078,15Payton Linnehan7958f078,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-176,45,7,16,43.8,109,32,5,8,62.5,2,4,50.0,0,2,0.0,0,0.0,0.0,1,0,0,0,0,7958f078,7Caiya Hanks7958f078,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-185,90,22,31,71.0,425,214,10,11,90.9,6,8,75.0,5,9,55.6,0,0.9,0.4,6,5,5,0,8,7958f078,13Olivia Moultrie7958f078,Portland Thorns FC
Deyna Castellanos,10,ve VEN,LM,25-337,72,11,20,55.0,189,51,4,7,57.1,6,8,75.0,1,3,33.3,0,0.0,0.0,2,2,0,0,1,7958f078,10Deyna Castellanos7958f078,Portland Thorns FC
Alexa Spaanstra,77,us USA,LM,25-048,18,5,6,83.3,76,51,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,7958f078,77Alexa Spaanstra7958f078,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-049,90,43,54,79.6,712,257,22,23,95.7,19,25,76.0,1,1,100.0,0,0.2,0.3,3,7,3,2,9,7958f078,8Hina Sugita7958f078,Portland Thorns FC
Sam Coffey,17,us USA,RM,26-080,90,41,50,82.0,754,295,18,18,100.0,17,24,70.8,5,6,83.3,0,0.1,0.0,1,6,1,0,8,7958f078,17Sam Coffey7958f078,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-033,90,35,44,79.5,612,349,17,21,81.0,15,16,93.8,3,6,50.0,0,0.1,0.1,2,0,1,1,6,7958f078,2Reyna Reyes7958f078,Portland Thorns FC
