player,JerseyNumber,nation,pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Reilyn Turner,66,us USA,FW,22-155,79,32,2,4,12,16,7,32,1,1,100.0,0,0.0,10,26,13,0,0,0,5,2,19,6,7958f078,66Reilyn Turner7958f078,Portland Thorns FC
Pietra Tordin,19,us USA,FW,20-356,11,5,0,0,0,5,4,5,0,0,0.0,0,0.0,3,12,1,0,0,1,1,0,7,2,7958f078,19Pietra Tordin7958f078,Portland Thorns FC
Payton Linnehan,15,us USA,LW,23-361,45,22,0,3,15,4,2,22,1,0,0.0,1,100.0,13,34,12,0,0,0,4,3,17,5,7958f078,15Payton Linnehan7958f078,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-176,45,22,0,0,10,13,3,22,3,0,0.0,3,100.0,13,104,63,4,1,2,1,1,12,7,7958f078,7Caiya Hanks7958f078,Portland Thorns FC
Olivia Moultrie,13,us USA,RW,19-185,90,45,0,4,18,24,2,45,2,1,50.0,1,50.0,19,115,49,4,1,1,4,3,24,7,7958f078,13Olivia Moultrie7958f078,Portland Thorns FC
Deyna Castellanos,10,ve VEN,LM,25-337,72,35,1,10,12,13,1,35,4,1,25.0,3,75.0,15,92,55,1,2,0,3,0,22,3,7958f078,10Deyna Castellanos7958f078,Portland Thorns FC
Alexa Spaanstra,77,us USA,LM,25-048,18,8,0,2,3,3,1,8,0,0,0.0,0,0.0,2,2,0,0,0,0,0,0,4,2,7958f078,77Alexa Spaanstra7958f078,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-049,90,68,1,19,31,18,2,68,0,0,0.0,0,0.0,30,134,35,0,0,0,0,1,41,3,7958f078,8Hina Sugita7958f078,Portland Thorns FC
Sam Coffey,17,us USA,RM,26-080,90,61,3,17,36,8,0,61,0,0,0.0,0,0.0,14,86,26,0,0,0,3,0,27,0,7958f078,17Sam Coffey7958f078,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-033,90,53,0,21,23,9,1,53,1,0,0.0,1,100.0,18,106,29,1,5,0,2,0,23,0,7958f078,2Reyna Reyes7958f078,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-142,90,43,5,29,12,3,1,43,1,1,100.0,0,0.0,19,87,46,0,0,0,0,1,26,1,7958f078,5Isabella Obaze7958f078,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-074,90,68,19,46,21,1,0,68,1,1,100.0,0,0.0,21,83,35,0,0,0,1,0,33,0,7958f078,16Samantha Hiatt7958f078,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-004,79,59,7,22,24,13,1,59,0,0,0.0,0,0.0,14,53,35,1,0,1,1,1,25,2,7958f078,20Kaitlyn Torpey7958f078,Portland Thorns FC
