player,JerseyNumber,nation,Pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Asisat Oshoala,8,ng NGA,FW,30-241,70,26,1,1,12,13,5,26,1,1,100.0,0,0.0,14,67,49,3,0,3,1,2,17,5,810cc4f5,8Asisat Oshoala810cc4f5,Bay FC
Racheal Kundananji,9,zm ZAM,FW,25-004,20,17,0,1,8,9,3,17,3,1,33.3,2,66.7,14,99,59,2,3,2,3,1,14,5,810cc4f5,9Racheal Kundananji810cc4f5,Bay FC
Taylor Huff,7,us USA,FW,22-295,70,40,3,9,16,16,1,40,1,1,100.0,0,0.0,17,103,73,2,1,0,4,2,27,4,810cc4f5,7Taylor Huff810cc4f5,Bay FC
Dorian Bailey,19,us USA,FW,28-130,20,13,0,1,12,0,0,13,0,0,0.0,0,0.0,4,15,13,0,0,0,0,0,9,0,810cc4f5,19Dorian Bailey810cc4f5,Bay FC
Penelope Hocking,55,us USA,LM,25-160,77,40,1,9,13,18,6,40,0,0,0.0,0,0.0,17,65,36,2,1,1,2,2,26,8,810cc4f5,55Penelope Hocking810cc4f5,Bay FC
Tess Boade,12,us USA,LM,26-124,13,10,0,2,5,3,2,10,2,2,100.0,0,0.0,7,19,7,1,0,1,2,1,7,2,810cc4f5,12Tess Boade810cc4f5,Bay FC
Hannah Bebar,41,us USA,CM,23-275,70,49,2,15,25,10,1,49,2,0,0.0,2,100.0,22,114,21,0,0,0,3,0,35,2,810cc4f5,41Hannah Bebar810cc4f5,Bay FC
Kiki Pickett,23,us USA,CM,26-038,20,12,0,3,7,2,0,12,1,0,0.0,1,100.0,3,11,1,0,0,0,0,0,3,0,810cc4f5,23Kiki Pickett810cc4f5,Bay FC
Caroline Conti,15,us USA,CM,24-071,90,52,0,12,30,10,0,52,1,0,0.0,1,100.0,12,32,11,0,0,0,0,0,28,0,810cc4f5,15Caroline Conti810cc4f5,Bay FC
Rachel Hill,21,us USA,RM,30-051,90,50,3,15,21,14,0,50,0,0,0.0,0,0.0,20,103,40,1,0,0,3,1,24,1,810cc4f5,21Rachel Hill810cc4f5,Bay FC
Alyssa Malonson,20,us USA,LB,26-059,90,58,5,21,29,9,1,58,2,1,50.0,1,50.0,16,81,30,1,0,0,1,0,21,3,810cc4f5,20Alyssa Malonson810cc4f5,Bay FC
Jordan Brewster,2,us USA,CB,25-253,25,16,3,10,6,0,0,16,0,0,0.0,0,0.0,11,53,18,0,0,0,0,0,10,0,810cc4f5,2Jordan Brewster810cc4f5,Bay FC
Kelli Hubly,11,us USA,CB,30-302,65,36,14,26,9,1,0,36,0,0,0.0,0,0.0,13,50,14,0,0,0,0,0,17,0,810cc4f5,11Kelli Hubly810cc4f5,Bay FC
Abby Dahlkemper,13,us USA,CB,32-025,90,53,11,38,14,1,0,53,0,0,0.0,0,0.0,9,41,19,0,0,0,0,0,26,0,810cc4f5,13Abby Dahlkemper810cc4f5,Bay FC
Caprice Dydasco,3,us USA,RB,31-292,90,74,5,29,35,10,0,74,3,2,66.7,1,33.3,19,98,43,1,1,0,3,0,29,1,810cc4f5,3Caprice Dydasco810cc4f5,Bay FC
Jordan Silkowitz,29,us USA,GK,25-072,90,34,24,34,0,0,0,34,0,0,0.0,0,0.0,15,120,48,0,0,0,0,0,14,0,810cc4f5,29Jordan Silkowitz810cc4f5,Bay FC
Marie-Yasmine Alidou,26,ca CAN,FW LW,30-040,62,21,0,1,11,9,3,21,2,1,50.0,1,50.0,7,26,1,0,0,0,2,4,8,2,810cc4f5,26Marie-Yasmine Alidou810cc4f5,Portland Thorns FC
Reilyn Turner,66,us USA,LW RW,22-233,28,10,1,1,4,5,1,10,0,0,0.0,0,0.0,6,22,1,0,0,0,2,0,8,3,810cc4f5,66Reilyn Turner810cc4f5,Portland Thorns FC
Caiya Hanks,7,us USA,LW RW,20-254,83,43,1,11,7,26,6,43,10,2,20.0,8,80.0,18,216,139,5,2,2,4,1,21,8,810cc4f5,7Caiya Hanks810cc4f5,Portland Thorns FC
Alexa Spaanstra,77,us USA,RW,25-126,7,7,0,2,1,4,0,7,0,0,0.0,0,0.0,3,29,10,0,0,0,1,0,4,1,810cc4f5,77Alexa Spaanstra810cc4f5,Portland Thorns FC
Payton Linnehan,15,us USA,RW,24-074,45,16,0,2,6,8,1,16,0,0,0.0,0,0.0,6,40,9,1,0,1,2,0,11,5,810cc4f5,15Payton Linnehan810cc4f5,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-069,45,5,0,0,4,1,1,5,0,0,0.0,0,0.0,4,12,7,1,0,0,1,0,4,1,810cc4f5,19Pietra Tordin810cc4f5,Portland Thorns FC
Olivia Moultrie,13,us USA,AM,19-263,90,57,0,1,22,35,8,57,8,5,62.5,3,37.5,28,174,97,4,1,2,1,0,32,5,810cc4f5,13Olivia Moultrie810cc4f5,Portland Thorns FC
Hina Sugita,8,jp JPN,DM LB,28-127,90,51,3,12,26,13,3,51,1,0,0.0,1,100.0,17,41,14,0,0,0,1,2,25,7,810cc4f5,8Hina Sugita810cc4f5,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-158,90,63,2,15,30,18,3,63,5,4,80.0,1,20.0,21,135,71,2,1,2,0,0,31,2,810cc4f5,17Sam Coffey810cc4f5,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB RB,24-111,90,74,1,21,36,17,3,74,3,1,33.3,2,66.7,26,148,91,2,0,0,3,1,34,2,810cc4f5,2Reyna Reyes810cc4f5,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-107,90,86,3,46,38,2,0,86,1,0,0.0,1,100.0,49,188,111,0,0,0,0,1,63,0,810cc4f5,24Jayden Perry810cc4f5,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-152,90,91,5,51,40,1,1,91,0,0,0.0,0,0.0,49,193,110,0,0,0,2,0,65,0,810cc4f5,16Samantha Hiatt810cc4f5,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-082,77,48,2,10,24,15,0,48,2,1,50.0,1,50.0,13,84,26,1,1,0,2,0,19,4,810cc4f5,20Kaitlyn Torpey810cc4f5,Portland Thorns FC
Jessie Fleming,21,ca CAN,DM,27-088,13,12,0,1,8,3,0,12,1,1,100.0,0,0.0,3,18,8,1,0,0,0,0,7,0,810cc4f5,21Jessie Fleming810cc4f5,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-199,90,48,23,46,2,0,0,48,0,0,0.0,0,0.0,29,132,106,0,0,0,0,0,29,0,810cc4f5,1Bella Bixby810cc4f5,Portland Thorns FC
