player,JerseyNumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,game_id,player_id,team_name
Asisat Oshoala,8,ng NGA,FW,30-241,70,0,0,0,0,3,0,1,0,26,1,0,3,0.2,0.2,0,1,0,10,1,58.8,0,14,3,1,810cc4f5,8Asisat Oshoala810cc4f5,Bay FC
Racheal Kundananji,9,zm ZAM,FW,25-004,20,0,0,0,0,3,1,0,0,17,0,0,1,0.4,0.4,0,1,0,3,3,50,0,14,2,1,810cc4f5,9Racheal Kundananji810cc4f5,Bay FC
Taylor Huff,7,us USA,FW,22-295,70,0,0,0,0,1,0,0,0,40,3,0,0,0,0,0.1,6,1,20,1,87,8,17,2,1,810cc4f5,7Taylor Huff810cc4f5,Bay FC
Dorian Bailey,19,us USA,FW,28-130,20,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.3,2,0,10,0,83.3,5,4,0,0,810cc4f5,19Dorian Bailey810cc4f5,Bay FC
Penelope Hocking,55,us USA,LM,25-160,77,0,1,0,0,1,0,0,0,40,0,0,2,0.1,0.1,0.1,3,1,23,0,74.2,3,17,2,0,810cc4f5,55Penelope Hocking810cc4f5,Bay FC
Tess Boade,12,us USA,LM,26-124,13,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,2,75,0,7,1,2,810cc4f5,12Tess Boade810cc4f5,Bay FC
Hannah Bebar,41,us USA,CM,23-275,70,0,0,0,0,1,0,0,0,49,2,0,0,0,0,0,0,0,28,2,71.8,4,22,0,0,810cc4f5,41Hannah Bebar810cc4f5,Bay FC
Kiki Pickett,23,us USA,CM,26-038,20,0,0,0,0,0,0,1,0,12,0,1,1,0,0,0.1,0,0,4,1,57.1,2,3,0,0,810cc4f5,23Kiki Pickett810cc4f5,Bay FC
Caroline Conti,15,us USA,CM,24-071,90,0,0,0,0,0,0,0,0,52,2,0,1,0,0,0,1,0,30,1,73.2,3,12,0,0,810cc4f5,15Caroline Conti810cc4f5,Bay FC
Rachel Hill,21,us USA,RM,30-051,90,0,0,0,0,0,0,0,0,50,7,1,1,0,0,0.2,3,0,18,0,60,0,20,1,0,810cc4f5,21Rachel Hill810cc4f5,Bay FC
Alyssa Malonson,20,us USA,LB,26-059,90,1,0,0,0,1,1,0,0,58,0,4,1,0,0,0,0,0,33,2,76.7,2,16,1,1,810cc4f5,20Alyssa Malonson810cc4f5,Bay FC
Jordan Brewster,2,us USA,CB,25-253,25,0,0,0,0,0,0,0,0,16,0,1,1,0,0,0,0,0,12,0,100,0,11,0,0,810cc4f5,2Jordan Brewster810cc4f5,Bay FC
Kelli Hubly,11,us USA,CB,30-302,65,0,0,0,0,0,0,0,0,36,2,1,0,0,0,0,0,0,21,0,84,1,13,0,0,810cc4f5,11Kelli Hubly810cc4f5,Bay FC
Abby Dahlkemper,13,us USA,CB,32-025,90,0,0,0,0,0,0,0,0,53,1,0,2,0,0,0,0,0,29,0,80.6,1,9,0,0,810cc4f5,13Abby Dahlkemper810cc4f5,Bay FC
Caprice Dydasco,3,us USA,RB,31-292,90,0,0,0,0,0,0,0,0,74,9,3,2,0,0,0,1,0,43,3,79.6,2,19,1,2,810cc4f5,3Caprice Dydasco810cc4f5,Bay FC
