player,JerseyNumber,nation,Pos,age,min,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,game_id,player_id,team_name
Messiah Bright,6,us USA,FW,25-124,60,25,20,5,0,0,0,2,0,0,0,0,0,19,0,2,d2545219,6Messiah Brightd2545219,Houston Dash
Michelle Alozie,22,ng NGA,FW,28-018,30,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,d2545219,22Michelle Alozied2545219,Houston Dash
Bárbara Olivieri,10,ve VEN,LW,23-081,90,32,29,3,1,0,1,3,0,2,2,0,0,27,0,1,d2545219,10Bárbara Olivierid2545219,Houston Dash
Maggie Graham,23,us USA,RW,22-310,60,17,17,0,0,0,0,2,0,0,0,0,0,14,0,1,d2545219,23Maggie Grahamd2545219,Houston Dash
Evelina Duljan,7,se SWE,RW,22-004,30,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,d2545219,7Evelina Duljand2545219,Houston Dash
Ryan Gareis,21,us USA,LM,26-184,71,37,26,11,0,0,0,4,10,1,1,0,0,27,0,2,d2545219,21Ryan Gareisd2545219,Houston Dash
Kiki Van Zanten,12,jm JAM,RM,23-264,19,11,10,1,0,0,0,1,1,0,0,0,0,4,0,0,d2545219,12Kiki Van Zantend2545219,Houston Dash
Danielle Colaprico,24,us USA,CM,32-010,71,31,30,1,1,0,0,0,0,0,0,0,0,28,0,0,d2545219,24Danielle Colapricod2545219,Houston Dash
Sarah Puntigam,17,at AUT,CM,32-215,19,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,d2545219,17Sarah Puntigamd2545219,Houston Dash
Delanie Sheehan,8,us USA,CM,26-123,90,42,36,4,2,0,0,0,2,0,0,0,0,33,2,1,d2545219,8Delanie Sheehand2545219,Houston Dash
Avery Patterson,15,us USA,RM LM,22-336,90,37,33,4,0,0,0,2,4,0,0,0,0,28,0,3,d2545219,15Avery Pattersond2545219,Houston Dash
Natalie Jacobs,4,us USA,CB,27-273,90,52,49,3,1,0,0,0,2,0,0,0,0,45,0,1,d2545219,4Natalie Jacobsd2545219,Houston Dash
Katie Lind,25,us USA,CB,31-090,90,57,55,2,2,0,0,0,0,0,0,0,0,53,0,0,d2545219,25Katie Lindd2545219,Houston Dash
Christen Westphal,20,us USA,CB,31-256,60,32,31,1,1,0,0,1,0,0,0,0,0,27,0,1,d2545219,20Christen Westphald2545219,Houston Dash
Paige Nielsen,14,us USA,CB,31-214,30,24,21,3,0,0,0,1,3,0,0,0,0,16,0,0,d2545219,14Paige Nielsend2545219,Houston Dash
Abby Smith,35,us USA,GK,31-224,90,33,24,9,2,0,0,0,0,0,0,0,0,25,0,0,d2545219,35Abby Smithd2545219,Houston Dash
Pietra Tordin,19,us USA,FW,21-047,75,12,11,1,0,0,0,0,0,0,0,0,0,9,0,0,d2545219,19Pietra Tordind2545219,Portland Thorns FC
Deyna Castellanos,10,ve VEN,FW,26-028,15,5,4,1,0,0,0,0,0,0,0,0,0,2,0,1,d2545219,10Deyna Castellanosd2545219,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-232,62,16,16,0,0,0,0,2,0,0,0,0,0,12,0,0,d2545219,7Caiya Hanksd2545219,Portland Thorns FC
Alexa Spaanstra,77,us USA,LW,25-104,28,7,7,0,0,0,0,0,0,0,0,0,0,3,0,1,d2545219,77Alexa Spaanstrad2545219,Portland Thorns FC
Payton Linnehan,15,us USA,RW,24-052,45,16,15,0,0,0,0,2,0,0,0,0,0,11,1,0,d2545219,15Payton Linnehand2545219,Portland Thorns FC
Jessie Fleming,21,ca CAN,AM RW,27-066,45,18,17,1,1,0,0,0,0,0,0,0,0,15,0,1,d2545219,21Jessie Flemingd2545219,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,AM RW,30-018,90,25,25,0,0,0,0,0,0,0,0,0,0,21,0,1,d2545219,26Marie-Yasmine Alidoud2545219,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-105,62,34,33,1,1,0,0,2,0,0,0,0,0,31,0,0,d2545219,8Hina Sugitad2545219,Portland Thorns FC
Olivia Moultrie,13,us USA,DM,19-241,28,13,12,1,1,0,0,1,0,0,0,0,0,8,0,0,d2545219,13Olivia Moultried2545219,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-136,62,38,35,3,2,0,0,1,0,1,0,1,0,36,0,0,d2545219,17Sam Coffeyd2545219,Portland Thorns FC
Sophie Hirst,14,us USA,DM,25-080,28,14,14,0,0,0,0,0,0,0,0,0,0,10,0,0,d2545219,14Sophie Hirstd2545219,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-089,90,56,41,15,1,0,0,1,14,0,0,0,0,40,0,2,d2545219,2Reyna Reyesd2545219,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-130,90,34,33,1,1,0,0,0,0,0,0,0,0,32,0,0,d2545219,16Samantha Hiattd2545219,Portland Thorns FC
Mallie McKenzie,29,us USA,CB,24-184,90,41,39,2,2,1,0,0,0,0,0,0,0,33,0,0,d2545219,29Mallie McKenzied2545219,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-060,90,52,34,18,0,0,0,1,18,0,0,0,0,43,0,2,d2545219,20Kaitlyn Torpeyd2545219,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-177,90,35,25,10,4,0,0,0,0,0,0,0,0,22,0,0,d2545219,1Bella Bixbyd2545219,Portland Thorns FC
