player,JerseyNumber,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Messiah Bright,6,us USA,FW,25-124,60,19,25,76.0,313,5,10,12,83.3,7,8,87.5,2,3,66.7,0,0.0,0.0,0,0,0,0,2,d2545219,6Messiah Brightd2545219,Houston Dash
Michelle Alozie,22,ng NGA,FW,28-018,30,4,6,66.7,59,0,2,2,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,d2545219,22Michelle Alozied2545219,Houston Dash
Bárbara Olivieri,10,ve VEN,LW,23-081,90,27,32,84.4,553,156,12,13,92.3,9,11,81.8,6,7,85.7,0,0.2,0.2,2,3,0,0,2,d2545219,10Bárbara Olivierid2545219,Houston Dash
Maggie Graham,23,us USA,RW,22-310,60,14,17,82.4,219,90,7,7,100.0,6,7,85.7,0,1,0.0,0,0.0,0.0,0,1,1,0,3,d2545219,23Maggie Grahamd2545219,Houston Dash
Evelina Duljan,7,se SWE,RW,22-004,30,7,8,87.5,118,12,2,2,100.0,5,6,83.3,0,0,0.0,0,0.0,0.0,0,1,0,0,0,d2545219,7Evelina Duljand2545219,Houston Dash
Ryan Gareis,21,us USA,LM,26-184,71,27,37,73.0,413,189,13,15,86.7,13,18,72.2,0,1,0.0,0,0.0,0.0,0,0,1,0,3,d2545219,21Ryan Gareisd2545219,Houston Dash
Kiki Van Zanten,12,jm JAM,RM,23-264,19,4,11,36.4,79,19,1,3,33.3,2,5,40.0,1,3,33.3,0,0.0,0.0,0,1,0,0,0,d2545219,12Kiki Van Zantend2545219,Houston Dash
Danielle Colaprico,24,us USA,CM,32-010,71,28,31,90.3,447,134,17,18,94.4,9,9,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,2,d2545219,24Danielle Colapricod2545219,Houston Dash
Sarah Puntigam,17,at AUT,CM,32-215,19,10,12,83.3,171,100,7,8,87.5,1,1,100.0,2,3,66.7,0,0.0,0.0,0,4,0,0,5,d2545219,17Sarah Puntigamd2545219,Houston Dash
Delanie Sheehan,8,us USA,CM,26-123,90,33,42,78.6,548,123,16,18,88.9,11,11,100.0,4,7,57.1,0,0.0,0.0,0,1,0,0,3,d2545219,8Delanie Sheehand2545219,Houston Dash
Avery Patterson,15,us USA,RM LM,22-336,90,28,37,75.7,524,153,15,16,93.8,11,15,73.3,2,3,66.7,0,0.2,0.1,1,1,0,0,3,d2545219,15Avery Pattersond2545219,Houston Dash
Natalie Jacobs,4,us USA,CB,27-273,90,45,52,86.5,830,433,17,17,100.0,24,27,88.9,3,6,50.0,0,0.0,0.0,0,7,1,0,3,d2545219,4Natalie Jacobsd2545219,Houston Dash
Katie Lind,25,us USA,CB,31-090,90,53,57,93.0,966,287,17,18,94.4,32,34,94.1,4,5,80.0,0,0.7,0.0,1,3,0,0,2,d2545219,25Katie Lindd2545219,Houston Dash
Christen Westphal,20,us USA,CB,31-256,60,27,32,84.4,456,149,13,13,100.0,14,16,87.5,0,2,0.0,0,0.0,0.0,0,0,0,0,1,d2545219,20Christen Westphald2545219,Houston Dash
Paige Nielsen,14,us USA,CB,31-214,30,16,24,66.7,276,132,6,7,85.7,8,13,61.5,2,4,50.0,0,0.0,0.0,1,3,0,0,2,d2545219,14Paige Nielsend2545219,Houston Dash
Abby Smith,35,us USA,GK,31-224,90,25,33,75.8,519,357,10,10,100.0,9,9,100.0,4,12,33.3,0,0.0,0.0,0,1,0,0,0,d2545219,35Abby Smithd2545219,Houston Dash
Pietra Tordin,19,us USA,FW,21-047,75,9,12,75.0,111,54,8,10,80.0,1,2,50.0,0,0,0.0,0,0.1,0.0,3,3,0,0,2,d2545219,19Pietra Tordind2545219,Portland Thorns FC
Deyna Castellanos,10,ve VEN,FW,26-028,15,2,5,40.0,39,3,1,2,50.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,d2545219,10Deyna Castellanosd2545219,Portland Thorns FC
Caiya Hanks,7,us USA,LW,20-232,62,12,16,75.0,187,63,4,5,80.0,6,9,66.7,1,1,100.0,0,0.2,0.4,1,0,1,0,2,d2545219,7Caiya Hanksd2545219,Portland Thorns FC
Alexa Spaanstra,77,us USA,LW,25-104,28,3,7,42.9,43,16,2,3,66.7,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,1,0,1,d2545219,77Alexa Spaanstrad2545219,Portland Thorns FC
Payton Linnehan,15,us USA,RW,24-052,45,11,16,68.8,152,39,4,5,80.0,6,8,75.0,0,1,0.0,0,0.1,0.1,3,1,2,1,1,d2545219,15Payton Linnehand2545219,Portland Thorns FC
Jessie Fleming,21,ca CAN,AM RW,27-066,45,15,18,83.3,203,29,8,9,88.9,6,6,100.0,0,0,0.0,0,0.0,0.0,0,1,0,0,1,d2545219,21Jessie Flemingd2545219,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,AM RW,30-018,90,21,25,84.0,291,131,14,15,93.3,7,8,87.5,0,1,0.0,1,0.1,0.1,1,3,1,0,5,d2545219,26Marie-Yasmine Alidoud2545219,Portland Thorns FC
Hina Sugita,8,jp JPN,DM,28-105,62,31,34,91.2,466,160,14,14,100.0,15,17,88.2,0,1,0.0,0,0.0,0.1,0,2,1,1,4,d2545219,8Hina Sugitad2545219,Portland Thorns FC
Olivia Moultrie,13,us USA,DM,19-241,28,8,13,61.5,128,9,4,4,100.0,4,6,66.7,0,2,0.0,0,0.0,0.0,0,1,0,0,1,d2545219,13Olivia Moultried2545219,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-136,62,36,38,94.7,642,252,20,22,90.9,9,9,100.0,6,6,100.0,1,0.1,0.1,2,3,2,0,7,d2545219,17Sam Coffeyd2545219,Portland Thorns FC
Sophie Hirst,14,us USA,DM,25-080,28,10,14,71.4,110,56,4,6,66.7,3,4,75.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,d2545219,14Sophie Hirstd2545219,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-089,90,40,56,71.4,565,283,26,31,83.9,12,16,75.0,2,5,40.0,1,0.1,0.0,1,4,1,0,8,d2545219,2Reyna Reyesd2545219,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-130,90,32,34,94.1,607,150,6,6,100.0,25,25,100.0,1,3,33.3,0,0.0,0.0,0,2,0,0,2,d2545219,16Samantha Hiattd2545219,Portland Thorns FC
Mallie McKenzie,29,us USA,CB,24-184,90,33,41,80.5,578,232,17,18,94.4,13,17,76.5,3,6,50.0,0,0.0,0.0,0,1,0,0,1,d2545219,29Mallie McKenzied2545219,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-060,90,43,52,82.7,712,296,24,26,92.3,13,17,76.5,4,5,80.0,0,0.1,0.0,1,2,0,0,3,d2545219,20Kaitlyn Torpeyd2545219,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-177,90,22,35,62.9,529,316,6,6,100.0,9,10,90.0,7,19,36.8,0,0.0,0.0,0,0,0,0,0,d2545219,1Bella Bixbyd2545219,Portland Thorns FC
