player,JerseyNumber,nation,Pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Messiah Bright,6,us USA,FW,25-124,60,30,0,4,13,13,4,30,1,1,100.0,0,0.0,12,116,9,1,2,0,1,1,17,1,d2545219,6Messiah Brightd2545219,Houston Dash
Michelle Alozie,22,ng NGA,FW,28-018,30,9,0,0,0,9,1,9,1,0,0.0,1,100.0,6,37,17,1,0,1,1,0,7,6,d2545219,22Michelle Alozied2545219,Houston Dash
Bárbara Olivieri,10,ve VEN,LW,23-081,90,46,0,10,14,22,2,46,4,2,50.0,2,50.0,31,153,46,1,1,1,4,1,35,7,d2545219,10Bárbara Olivierid2545219,Houston Dash
Maggie Graham,23,us USA,RW,22-310,60,20,1,4,11,5,0,20,0,0,0.0,0,0.0,10,50,37,1,1,0,1,2,14,2,d2545219,23Maggie Grahamd2545219,Houston Dash
Evelina Duljan,7,se SWE,RW,22-004,30,14,0,1,6,7,0,14,2,1,50.0,1,50.0,8,68,0,0,1,0,0,1,10,3,d2545219,7Evelina Duljand2545219,Houston Dash
Ryan Gareis,21,us USA,LM,26-184,71,43,1,11,16,16,1,43,3,0,0.0,3,100.0,21,134,38,1,1,0,2,0,28,5,d2545219,21Ryan Gareisd2545219,Houston Dash
Kiki Van Zanten,12,jm JAM,RM,23-264,19,18,0,4,9,6,1,18,1,0,0.0,1,100.0,7,40,25,1,2,0,0,1,5,0,d2545219,12Kiki Van Zantend2545219,Houston Dash
Danielle Colaprico,24,us USA,CM,32-010,71,37,4,21,12,6,1,37,0,0,0.0,0,0.0,11,26,6,0,1,0,0,0,24,1,d2545219,24Danielle Colapricod2545219,Houston Dash
Sarah Puntigam,17,at AUT,CM,32-215,19,15,0,1,10,4,0,15,2,1,50.0,1,50.0,6,23,9,0,0,0,0,0,6,1,d2545219,17Sarah Puntigamd2545219,Houston Dash
Delanie Sheehan,8,us USA,CM,26-123,90,53,1,17,25,12,0,53,1,0,0.0,1,100.0,21,103,44,1,3,0,7,1,36,1,d2545219,8Delanie Sheehand2545219,Houston Dash
