player,JerseyNumber,Nation,Pos,Age,Min,total_Cmp,total_Att,total_Cmp_pct,total_TotDist,total_PrgDist,short_Cmp,short_Att,short_Cmp_pct,medium_Cmp,medium_Att,medium_Cmp_pct,long_Cmp,long_Att,long_Cmp_pct,Ast,xAG,xA,KP,final_third,PPA,CrsPA,PrgP,game_id,player_id,team_name
Aisha Solórzano,30,gt GUA,FW,26-363,45,2,4,50.0,54,0,0,2,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,fb58cf7f,30Aisha Solórzanofb58cf7f,Utah Royals
KK Ream,19,us USA,FW,15-278,45,4,7,57.1,50,5,3,4,75.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,fb58cf7f,19KK Reamfb58cf7f,Utah Royals
Bianca St-Georges,53,ca CAN,LW,27-257,69,8,17,47.1,94,31,6,8,75.0,2,7,28.6,0,1,0.0,0,0.6,0.4,2,0,1,0,1,fb58cf7f,53Bianca St-Georgesfb58cf7f,Utah Royals
Ana María Guzmán,15,co COL,LW,19-304,21,1,1,100.0,6,0,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,fb58cf7f,15Ana María Guzmánfb58cf7f,Utah Royals
Brecken Mozingo,13,us USA,RW,24-034,65,7,9,77.8,87,23,5,5,100.0,2,4,50.0,0,0,0.0,0,0.0,0.0,1,1,0,0,1,fb58cf7f,13Brecken Mozingofb58cf7f,Utah Royals
Imani Dorsey,28,us USA,RB,29-021,25,15,18,83.3,208,51,9,9,100.0,6,8,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,fb58cf7f,28Imani Dorseyfb58cf7f,Utah Royals
Ally Sentnor,9,us USA,AM,21-052,90,18,34,52.9,416,213,9,13,69.2,3,4,75.0,6,9,66.7,0,0.0,0.1,1,3,2,0,3,fb58cf7f,9Ally Sentnorfb58cf7f,Utah Royals
Claudia Zornoza,10,es ESP,DM,34-173,90,37,50,74.0,804,317,9,12,75.0,22,26,84.6,6,9,66.7,0,0.1,0.1,1,4,0,0,5,fb58cf7f,10Claudia Zornozafb58cf7f,Utah Royals
Mikayla Cluff,21,us USA,DM,26-045,45,11,16,68.8,162,37,4,5,80.0,6,9,66.7,0,1,0.0,0,0.0,0.0,0,1,0,0,2,fb58cf7f,21Mikayla Clufffb58cf7f,Utah Royals
Dana Foederer,22,nl NED,DM,22-258,45,15,19,78.9,241,90,10,12,83.3,3,4,75.0,2,2,100.0,0,0.0,0.0,1,2,1,0,2,fb58cf7f,22Dana Foedererfb58cf7f,Utah Royals
