player,JerseyNumber,nation,pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Aisha Solórzano,30,gt GUA,FW,26-363,45,9,0,0,6,3,1,9,0,0,0.0,0,0.0,4,14,1,0,0,1,2,0,4,1,fb58cf7f,30Aisha Solórzanofb58cf7f,Utah Royals
KK Ream,19,us USA,FW,15-278,45,10,0,2,7,1,1,10,0,0,0.0,0,0.0,3,8,0,0,0,0,2,0,6,0,fb58cf7f,19KK Reamfb58cf7f,Utah Royals
Bianca St-Georges,53,ca CAN,LW,27-257,69,28,0,3,9,17,2,28,4,1,25.0,3,75.0,16,160,70,5,2,0,3,0,17,6,fb58cf7f,53Bianca St-Georgesfb58cf7f,Utah Royals
Ana María Guzmán,15,co COL,LW,19-304,21,1,0,0,0,1,0,1,0,0,0.0,0,0.0,1,1,0,0,0,0,0,0,1,0,fb58cf7f,15Ana María Guzmánfb58cf7f,Utah Royals
Brecken Mozingo,13,us USA,RW,24-034,65,16,0,4,7,6,2,16,0,0,0.0,0,0.0,3,15,4,0,1,0,2,0,6,5,fb58cf7f,13Brecken Mozingofb58cf7f,Utah Royals
Imani Dorsey,28,us USA,RB,29-021,25,24,0,6,9,9,0,24,1,0,0.0,1,100.0,9,39,5,0,0,0,3,0,9,2,fb58cf7f,28Imani Dorseyfb58cf7f,Utah Royals
Ally Sentnor,9,us USA,AM,21-052,90,45,0,6,21,18,4,45,4,2,50.0,2,50.0,29,183,91,5,0,3,0,2,34,3,fb58cf7f,9Ally Sentnorfb58cf7f,Utah Royals
Claudia Zornoza,10,es ESP,DM,34-173,90,57,1,10,42,7,0,57,1,0,0.0,1,100.0,33,176,58,1,1,0,1,0,31,0,fb58cf7f,10Claudia Zornozafb58cf7f,Utah Royals
Mikayla Cluff,21,us USA,DM,26-045,45,19,0,5,12,4,1,19,0,0,0.0,0,0.0,11,50,4,0,0,0,0,0,11,3,fb58cf7f,21Mikayla Clufffb58cf7f,Utah Royals
Dana Foederer,22,nl NED,DM,22-258,45,26,0,8,15,3,0,26,1,0,0.0,1,100.0,11,66,37,1,1,0,1,0,14,0,fb58cf7f,22Dana Foedererfb58cf7f,Utah Royals
Madison Pogarch,16,us USA,LB,27-157,90,43,0,14,20,9,0,43,1,1,100.0,0,0.0,17,78,36,1,1,0,3,0,16,2,fb58cf7f,16Madison Pogarchfb58cf7f,Utah Royals
Ana Tejada,17,es ESP,CB,22-313,90,53,5,19,33,1,0,53,0,0,0.0,0,0.0,35,241,82,0,1,0,0,1,34,0,fb58cf7f,17Ana Tejadafb58cf7f,Utah Royals
Kate Del Fava,8,us USA,CB,26-262,90,70,10,35,35,1,1,70,0,0,0.0,0,0.0,55,264,138,0,0,0,0,1,57,1,fb58cf7f,8Kate Del Favafb58cf7f,Utah Royals
Janni Thomsen,7,dk DEN,RB RW,25-054,77,58,4,18,29,11,2,58,3,1,33.3,2,66.7,34,196,92,5,2,1,3,1,32,4,fb58cf7f,7Janni Thomsenfb58cf7f,Utah Royals
Macey Fraser,6,nz NZL,RW,22-274,13,5,0,1,2,2,0,5,1,0,0.0,1,100.0,3,9,5,0,0,0,2,0,3,0,fb58cf7f,6Macey Fraserfb58cf7f,Utah Royals
Amanda McGlynn,1,us USA,GK,26-159,90,47,30,47,0,0,0,47,0,0,0.0,0,0.0,24,99,40,0,0,0,0,0,23,0,fb58cf7f,1Amanda McGlynnfb58cf7f,Utah Royals
Deyna Castellanos,10,ve VEN,FW,25-358,83,26,0,1,14,11,2,26,3,2,66.7,1,33.3,14,60,25,1,0,0,0,0,17,2,fb58cf7f,10Deyna Castellanosfb58cf7f,Portland Thorns FC
Pietra Tordin,19,us USA,FW,21-012,7,6,0,0,2,4,0,6,1,0,0.0,1,100.0,2,10,0,0,0,0,1,1,3,1,fb58cf7f,19Pietra Tordinfb58cf7f,Portland Thorns FC
Caiya Hanks,7,us USA,LM,20-197,58,26,1,3,14,10,1,26,2,2,100.0,0,0.0,16,84,20,0,0,0,4,1,19,5,fb58cf7f,7Caiya Hanksfb58cf7f,Portland Thorns FC
Marie-Yasmine Alidou,26,ca CAN,LM,29-348,32,16,0,0,11,5,0,16,1,0,0.0,0,0.0,8,70,22,0,0,0,3,2,8,4,fb58cf7f,26Marie-Yasmine Alidoufb58cf7f,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-070,68,37,1,7,19,12,1,37,4,2,50.0,2,50.0,18,133,69,2,0,0,1,1,19,3,fb58cf7f,8Hina Sugitafb58cf7f,Portland Thorns FC
Jessie Fleming,21,ca CAN,CM,27-031,22,7,0,1,6,0,0,7,0,0,0.0,0,0.0,3,22,17,0,0,0,0,0,4,0,fb58cf7f,21Jessie Flemingfb58cf7f,Portland Thorns FC
Olivia Moultrie,13,us USA,CM,19-206,90,42,0,5,18,20,2,42,4,3,75.0,1,25.0,26,131,89,4,4,2,3,1,24,2,fb58cf7f,13Olivia Moultriefb58cf7f,Portland Thorns FC
Reilyn Turner,66,us USA,RM,22-176,83,35,1,2,19,14,9,35,0,0,0.0,0,0.0,18,47,12,1,0,2,3,2,26,5,fb58cf7f,66Reilyn Turnerfb58cf7f,Portland Thorns FC
Alexa Spaanstra,77,us USA,RM,25-069,7,2,0,0,1,1,0,2,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,0,0,fb58cf7f,77Alexa Spaanstrafb58cf7f,Portland Thorns FC
Sam Coffey,17,us USA,DM,26-101,90,53,1,7,42,6,0,53,7,3,42.9,4,57.1,28,119,47,1,2,0,5,0,30,3,fb58cf7f,17Sam Coffeyfb58cf7f,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-054,90,64,0,28,30,8,0,64,1,1,100.0,0,0.0,28,142,75,1,0,0,4,0,31,1,fb58cf7f,2Reyna Reyesfb58cf7f,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-050,90,44,2,28,16,0,0,44,0,0,0.0,0,0.0,21,110,51,0,0,0,0,0,21,0,fb58cf7f,24Jayden Perryfb58cf7f,Portland Thorns FC
Samantha Hiatt,16,us USA,CB,27-095,90,45,5,29,16,0,0,45,0,0,0.0,0,0.0,21,73,18,0,0,0,0,0,23,0,fb58cf7f,16Samantha Hiattfb58cf7f,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,25-025,68,33,1,10,20,3,0,33,1,1,100.0,0,0.0,13,50,17,0,0,0,1,0,18,0,fb58cf7f,20Kaitlyn Torpeyfb58cf7f,Portland Thorns FC
Mallie McKenzie,29,us USA,RB,24-149,22,6,0,3,3,0,0,6,0,0,0.0,0,0.0,1,7,3,0,0,0,0,0,3,0,fb58cf7f,29Mallie McKenziefb58cf7f,Portland Thorns FC
Bella Bixby,1,us USA,GK,29-142,90,41,35,41,0,0,0,41,0,0,0.0,0,0.0,18,91,48,0,0,0,0,0,16,0,fb58cf7f,1Bella Bixbyfb58cf7f,
