player,JerseyNumber,nation,pos,age,min,touches_touches,touches_defpen,touches_def3rd,touches_mid3rd,touches_att3rd,touches_attpen,touches_live,takeons_att,takeons_succ,takeons_succ_pct,takeons_tkld,takeons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_final_third,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,game_id,player_id,team_name
Debinha,99,br BRA,"FW,AM",33-146,84,50,0,4,28,20,2,50,2,1,50,1,50,31,134,67,2,1,0,6,1,28,10,,,Kansas City Current
   Haley Hopkins,13,us USA,AM,26-084,6,15,2,5,1,9,1,15,1,1,100,0,0,8,38,11,0,0,0,2,1,7,1,,,Kansas City Current
Temwa Chaŵinga,6,mw MWI,LW,26-176,90,43,0,2,22,22,5,43,2,1,50,1,50,30,141,71,2,3,1,7,2,26,12,,,Kansas City Current
Michelle Cooper,17,us USA,RW,22-101,66,44,2,6,22,17,2,44,1,1,100,0,0,22,87,55,0,0,0,2,1,21,7,,,Kansas City Current
   Nichelle Prince,8,ca CAN,RW,30-024,24,19,1,3,4,12,1,19,1,0,0,1,100,12,26,17,0,0,0,3,0,13,4,,,Kansas City Current
Vanessa DiBernardo,16,us USA,"AM,FW",32-304,89,43,0,4,24,17,1,43,1,0,0,1,100,26,109,74,3,1,0,3,0,25,5,,,Kansas City Current
   Bayley Feist,22,us USA,FW,28-001,1,4,0,0,2,2,0,4,1,1,100,0,0,2,4,3,0,0,0,0,0,3,0,,,Kansas City Current
Claire Hutton,14,us USA,DM,19-063,66,37,1,3,25,9,0,37,0,0,,0,,16,35,16,0,1,0,1,1,17,0,,,Kansas City Current
   Raquel Rodríguez,11,cr CRC,DM,31-138,24,23,2,5,11,7,0,23,1,0,0,1,100,9,27,1,0,0,0,1,0,7,0,,,Kansas City Current
Lo'eau LaBonta,10,us USA,DM,31-362,90,51,3,7,34,10,2,51,1,0,0,1,100,22,74,16,1,1,0,0,2,23,0,,,Kansas City Current
Ellie Wheeler,5,us USA,"RB,LB",23-091,90,34,0,8,14,12,1,34,1,0,0,1,100,14,66,28,1,0,1,3,0,17,1,,,Kansas City Current
Kayla Sharples,27,us USA,CB,27-271,90,46,8,29,16,1,1,46,0,0,,0,,30,124,89,0,0,0,0,0,35,0,,,Kansas City Current
Alana Cook,15,us USA,CB,27-338,90,61,5,38,22,1,1,61,0,0,,0,,45,164,42,0,0,0,0,1,43,0,,,Kansas City Current
Elizabeth Ball,7,us USA,RB,29-146,45,44,5,23,17,4,1,44,1,0,0,1,100,19,46,29,0,0,0,0,0,22,1,,,Kansas City Current
   Isabel Rodriguez,18,us USA,"LB,RB",25-336,45,38,2,12,13,13,0,38,0,0,,0,,14,37,29,0,0,0,0,0,17,2,,,Kansas City Current
Lorena,23,br BRA,GK,27-313,90,22,20,21,1,0,0,22,0,0,,0,,13,62,53,0,0,0,0,0,7,0,,,Kansas City Current
Alexa Spaanstra,77,us USA,FW,25-042,63,23,0,4,13,7,4,23,2,1,50,1,50,20,124,38,1,1,3,1,2,19,5,,,Portland Thorns FC
   Payton Linnehan,15,us USA,FW,23-355,27,10,0,5,4,1,0,10,0,0,,0,,6,10,1,0,0,0,0,0,6,1,,,Portland Thorns FC
Deyna Castellanos,10,ve VEN,FW,25-331,86,25,1,1,16,9,1,25,2,0,0,2,100,17,36,14,0,0,0,1,1,18,3,,,Portland Thorns FC
   Pietra Tordin,19,us USA,FW,20-350,4,4,0,1,1,3,1,4,1,1,100,0,0,2,8,4,0,0,0,0,0,2,0,,,Portland Thorns FC
Olivia Moultrie,13,us USA,LM,19-179,90,47,2,6,29,12,3,46,0,0,,0,,23,128,48,1,0,0,4,1,22,2,,,Portland Thorns FC
Sam Coffey,17,us USA,CM,26-074,90,53,2,19,30,4,0,53,1,1,100,0,0,27,85,21,0,0,0,2,3,25,3,,,Portland Thorns FC
Hina Sugita,8,jp JPN,CM,28-043,72,44,2,6,32,7,2,44,0,0,,0,,27,122,19,1,1,1,3,1,25,4,,,Portland Thorns FC
   Caiya Hanks,7,us USA,CM,20-170,18,8,0,5,2,3,0,8,3,1,33.3,2,66.7,7,34,2,0,0,0,0,1,4,1,,,Portland Thorns FC
Jessie Fleming,21,ca CAN,RM,27-004,63,36,0,4,25,7,1,36,3,2,66.7,1,33.3,26,69,10,0,0,0,1,2,25,4,,,Portland Thorns FC
   Reilyn Turner,66,us USA,RM,22-149,27,8,0,0,2,6,4,8,0,0,,0,,5,14,0,0,0,0,2,0,6,2,,,Portland Thorns FC
Reyna Reyes,2,mx MEX,LB,24-027,72,62,4,26,25,12,0,62,2,1,50,1,50,38,141,50,1,1,0,3,3,35,3,,,Portland Thorns FC
   Mallie McKenzie,29,us USA,LB,24-122,18,10,0,7,2,1,0,10,0,0,,0,,3,21,5,0,0,0,2,0,1,0,,,Portland Thorns FC
Jayden Perry,24,us USA,CB,24-023,90,100,12,65,32,4,2,100,2,0,0,2,100,67,210,94,0,0,0,1,0,68,1,,,Portland Thorns FC
Isabella Obaze,5,dk DEN,CB,22-136,90,69,8,43,25,1,0,69,1,1,100,0,0,46,159,100,0,0,0,0,0,41,0,,,Portland Thorns FC
Kaitlyn Torpey,20,au AUS,RB,24-363,90,59,2,18,36,5,1,59,1,0,0,1,100,33,103,59,1,0,0,1,0,36,4,,,Portland Thorns FC
Mackenzie Arnold,18,au AUS,GK,31-018,90,48,42,48,0,0,0,48,0,0,,0,,31,177,106,0,0,0,0,0,20,0,,,Portland Thorns FC
